speaker,text,wordCount
Ἀντιγόνη,ὦ κοινὸν αὐτάδελφον Ἰσμήνης κάρα ἆρ᾽ οἶσθ᾽ ὅ τι Ζεὺς τῶν ἀπ᾽ Οἰδίπου κακῶν ὁποῖον οὐχὶ νῷν ἔτι ζώσαιν τελεῖ οὐδὲν γὰρ οὔτ᾽ ἀλγεινὸν οὔτ᾽ ἄτης ἄτερ οὔτ᾽ αἰσχρὸν οὔτ᾽ ἄτιμόν ἐσθ᾽ ὁποῖον οὐ τῶν σῶν τε κἀμῶν οὐκ ὄπωπ᾽ ἐγὼ κακῶν καὶ νῦν τί τοῦτ᾽ αὖ φασι πανδήμῳ πόλει κήρυγμα θεῖναι τὸν στρατηγὸν ἀρτίως ἔχεις τι κεἰσήκουσας ἤ σε λανθάνει πρὸς τοὺς φίλους στείχοντα τῶν ἐχθρῶν κακά,68
Ἰσμήνη,ἐμοὶ μὲν οὐδεὶς μῦθος Ἀντιγόνη φίλων οὔθ᾽ ἡδὺς οὔτ᾽ ἀλγεινὸς ἵκετ᾽ ἐξ ὅτου δυοῖν ἀδελφοῖν ἐστερήθημεν δύο μιᾷ θανόντοιν ἡμέρᾳ διπλῇ χερί ἐπεὶ δὲ φροῦδός ἐστιν Ἀργείων στρατὸς ἐν νυκτὶ τῇ νῦν οὐδὲν οἶδ᾽ ὑπέρτερον οὔτ᾽ εὐτυχοῦσα μᾶλλον οὔτ᾽ ἀτωμένη,40
Ἀντιγόνη,ᾔδη καλῶς καί σ᾽ ἐκτὸς αὐλείων πυλῶν τοῦδ᾽ οὕνεκ᾽ ἐξέπεμπον ὡς μόνη κλύοις,13
Ἰσμήνη,τί δ᾽ ἔστι δηλοῖς γάρ τι καλχαίνουσ᾽ ἔπος,8
Ἀντιγόνη,οὐ γὰρ τάφου νῷν τὼ κασιγνήτω Κρέων τὸν μὲν προτίσας τὸν δ᾽ ἀτιμάσας ἔχει Ἐτεοκλέα μέν ὡς λέγουσι σὺν δίκης χρήσει δικαίᾳ καὶ νόμου κατὰ χθονὸς ἔκρυψε τοῖς ἔνερθεν ἔντιμον νεκροῖς τὸν δ᾽ ἀθλίως θανόντα Πολυνείκους νέκυν ἀστοῖσί φασιν ἐκκεκηρῦχθαι τὸ μὴ τάφῳ καλύψαι μηδὲ κωκῦσαί τινα ἐᾶν δ᾽ ἄκλαυτον ἄταφον οἰωνοῖς γλυκὺν θησαυρὸν εἰσορῶσι πρὸς χάριν βορᾶς τοιαῦτά φασι τὸν ἀγαθὸν Κρέοντα σοὶ κἀμοί λέγω γὰρ κἀμέ κηρύξαντ᾽ ἔχειν καὶ δεῦρο νεῖσθαι ταῦτα τοῖσι μὴ εἰδόσιν σαφῆ προκηρύξοντα καὶ τὸ πρᾶγμ᾽ ἄγειν οὐχ ὡς παρ᾽ οὐδέν ἀλλ᾽ ὃς ἂν τούτων τι δρᾷ φόνον προκεῖσθαι δημόλευστον ἐν πόλει οὕτως ἔχει σοι ταῦτα καὶ δείξεις τάχα εἴτ᾽ εὐγενὴς πέφυκας εἴτ᾽ ἐσθλῶν κακή,111
Ἰσμήνη,τί δ᾽ ὦ ταλαῖφρον εἰ τάδ᾽ ἐν τούτοις ἐγὼ λύουσ᾽ ἂν ἢ φάπτουσα προσθείμην πλέον,15
Ἀντιγόνη,εἰ ξυμπονήσεις καὶ ξυνεργάσει σκόπει,5
Ἰσμήνη,ποῖόν τι κινδύνευμα ποῦ γνώμης ποτ᾽ εἰ,7
Ἀντιγόνη,εἰ τὸν νεκρὸν ξὺν τῇδε κουφιεῖς χερί,7
Ἰσμήνη,ἢ γὰρ νοεῖς θάπτειν σφ᾽ ἀπόρρητον πόλει,7
