lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
εἰμί,126,126.0,165.0,84.0,11.255128079764711,104.0,148.0,7197,0.011671529804085035,0.014450465471724329,0.017507294706127552,0.02056412394053078,0.022926219258024176,Antigone,εἰμί
κοινός,8,8.0,19.0,0.0,2.8566948200158335,2.0,14.0,7197,0.0,0.00027789356676392944,0.0011115742670557178,0.001945254967347506,0.0026399888842573295,Antigone,κοινός
αὐτάδελφος,3,3.0,10.0,0.0,1.7697790489543834,0.0,6.0,7197,0.0,0.0,0.00041684035014589413,0.0008336807002917883,0.0013894678338196471,Antigone,αὐτάδελφος
κάρ,6,6.0,14.0,0.0,2.4419682207614395,1.0,11.0,7197,0.0,0.00013894678338196472,0.0008336807002917883,0.0015284146172016117,0.001945254967347506,Antigone,κάρ
ἄρα,14,14.0,26.0,5.0,3.7490929972058975,7.0,21.0,7197,0.0006947339169098236,0.000972627483673753,0.001945254967347506,0.0029178824510212586,0.0036126163679310822,Antigone,ἄρα
ὀιστός,1,1.0,5.0,0.0,1.0272899665258468,0.0,3.0,7197,0.0,0.0,0.00013894678338196472,0.00041684035014589413,0.0006947339169098236,Antigone,ὀιστός
ὅς,132,132.0,170.0,103.0,11.103170790292365,110.0,154.0,7197,0.014311518688342365,0.015284146172016119,0.01834097540641934,0.021397804640822565,0.023620953174934,Antigone,ὅς
τίς,91,91.0,126.0,66.0,9.47645813272336,72.0,110.0,7197,0.00917048770320967,0.010004168403501459,0.012644157287758789,0.015284146172016119,0.017507294706127552,Antigone,τίς
Ζεύς,12,12.0,26.0,2.0,3.512248014290294,5.0,19.0,7197,0.00027789356676392944,0.0006947339169098236,0.0016673614005835765,0.0026399888842573295,0.0036126163679310822,Antigone,ζεύς
ὁ,320,320.0,375.0,259.0,17.355027830833087,286.0,354.0,7197,0.03598721689592886,0.039738780047241906,0.04446297068222871,0.049187161317215504,0.05210504376823676,Antigone,ὁ
Ἆπις,9,9.0,20.0,1.0,2.981572776870661,3.0,15.0,7197,0.00013894678338196472,0.00041684035014589413,0.0012505210504376823,0.0020842017507294707,0.0027789356676392943,Antigone,ἆπις
Οἰδίπους,6,6.0,15.0,0.0,2.4845424224494637,1.0,11.0,7197,0.0,0.00013894678338196472,0.0008336807002917883,0.0015284146172016117,0.0020842017507294707,Antigone,οἰδίπους
κάκη,18,18.0,32.0,7.0,4.1268754402211965,10.0,26.0,7197,0.000972627483673753,0.0013894678338196471,0.0025010421008753647,0.0036126163679310822,0.004446297068222871,Antigone,κάκη
ὁποῖος,4,4.0,12.0,0.0,2.0896964298268705,0.0,8.0,7197,0.0,0.0,0.0005557871335278589,0.0011115742670557178,0.0016673614005835765,Antigone,ὁποῖος
οὐ,111,111.0,145.0,80.0,10.087056621666763,91.0,131.0,7197,0.011115742670557177,0.012644157287758789,0.015423092955398083,0.018202028623037377,0.020147283590384882,Antigone,οὐ
ἐγώ,154,154.0,190.0,112.0,11.954161869992644,131.0,177.0,7197,0.015562039738780047,0.018202028623037377,0.021397804640822565,0.024593580658607752,0.026399888842573296,Antigone,ἐγώ
ἔτι,15,15.0,32.0,5.0,3.8736673452038572,7.0,23.0,7197,0.0006947339169098236,0.000972627483673753,0.0020842017507294707,0.0031957760177851883,0.004446297068222871,Antigone,ἔτι
ζάω,18,18.0,31.0,5.0,4.171809679742834,10.0,26.0,7197,0.0006947339169098236,0.0013894678338196471,0.0025010421008753647,0.0036126163679310822,0.004307350284840906,Antigone,ζάω
τέλλω,4,4.0,12.0,0.0,1.9938607071409276,0.0,8.0,7197,0.0,0.0,0.0005557871335278589,0.0011115742670557178,0.0016673614005835765,Antigone,τέλλω
