lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
τέκνον,36,36.0,55.0,16.0,5.631214027949162,25.0,47.0,10091,0.001585571301159449,0.0024774551580616392,0.00356753542760876,0.004657615697155881,0.005450401347735606,Oedipus Colonus,τέκνον
τυφλός,4,4.0,11.0,0.0,1.9735230444038923,0.0,8.0,10091,0.0,0.0,0.00039639282528986224,0.0007927856505797245,0.0010900802695471212,Oedipus Colonus,τυφλός
γέρων,13,13.0,24.0,4.0,3.5437245965204487,6.0,20.0,10091,0.00039639282528986224,0.0005945892379347934,0.0012882766821920523,0.001981964126449311,0.0023783569517391735,Oedipus Colonus,γέρων
τίς,169,169.0,214.0,132.0,12.985970836307871,144.0,194.0,10091,0.013080963234565455,0.01427014171043504,0.01674759686849668,0.01922505202655832,0.02120701615300763,Oedipus Colonus,τίς
Χῶρος,12,12.0,24.0,3.0,3.4440592990749237,5.0,19.0,10091,0.0002972946189673967,0.0004954910316123278,0.0011891784758695867,0.0018828659201268457,0.0023783569517391735,Oedipus Colonus,χῶρος
ἀφικνέομαι,8,8.0,17.0,1.0,2.7836722452241336,3.0,13.0,10091,9.909820632246556e-05,0.0002972946189673967,0.0007927856505797245,0.0012882766821920523,0.0016846695074819145,Oedipus Colonus,ἀφικνέομαι
εἰμί,282,282.0,329.0,232.0,16.263146806689782,250.0,314.0,10091,0.022990783866812012,0.02477455158061639,0.02794569418293529,0.031116836785254186,0.03260330988009117,Oedipus Colonus,εἰμί
τίνω,26,26.0,48.0,10.0,4.952560564380424,16.0,36.0,10091,0.0009909820632246556,0.001585571301159449,0.0025765533643841046,0.00356753542760876,0.004756713903478347,Oedipus Colonus,τίνω
ἀνδρόω,8,8.0,17.0,1.0,2.7933809305171797,3.0,13.0,10091,9.909820632246556e-05,0.0002972946189673967,0.0007927856505797245,0.0012882766821920523,0.0016846695074819145,Oedipus Colonus,ἀνδρόω
πόλις,42,42.0,66.0,23.0,6.591090314088523,29.0,55.0,10091,0.002279258745416708,0.0028738479833515015,0.004162124665543554,0.005450401347735606,0.0065404816172827274,Oedipus Colonus,πόλις
ὁ,433,434.0,505.0,371.0,20.046825603651484,395.0,473.0,10091,0.036765434545634725,0.039143791497373896,0.04290952333762759,0.046873451590526215,0.05004459419284511,Oedipus Colonus,ὁ
πλανάω,3,3.0,11.0,0.0,1.7852414159118404,0.0,6.0,10091,0.0,0.0,0.0002972946189673967,0.0005945892379347934,0.0010900802695471212,Oedipus Colonus,πλανάω
Οἰδίπους,15,15.0,29.0,5.0,3.7839608402254425,8.0,22.0,10091,0.0004954910316123278,0.0007927856505797245,0.0014864730948369834,0.0021801605390942423,0.0028738479833515015,Oedipus Colonus,οἰδίπους
κάτος,25,25.0,45.0,10.0,4.930892241947526,15.0,35.0,10091,0.0009909820632246556,0.0014864730948369834,0.0024774551580616392,0.003468437221286295,0.0044594192845109504,Oedipus Colonus,κάτος
ἥμερος,8,8.0,19.0,2.0,2.693741590472953,3.0,13.0,10091,0.00019819641264493112,0.0002972946189673967,0.0007927856505797245,0.0012882766821920523,0.0018828659201268457,Oedipus Colonus,ἥμερος
νῦν,48,48.0,72.0,24.0,6.922377820179616,34.0,62.0,10091,0.0023783569517391735,0.003369339014963829,0.004756713903478347,0.006144088791992865,0.00713507085521752,Oedipus Colonus,νῦν
