lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
εἰμί,218,218.0,263.0,177.0,14.496784996156054,190.0,246.0,8900,0.019887640449438203,0.021348314606741574,0.024494382022471912,0.027640449438202246,0.029550561797752808,Oedipus Tyrannus,εἰμί
τέκνον,17,17.0,30.0,5.0,4.071520934157495,9.0,25.0,8900,0.0005617977528089888,0.0010112359550561798,0.001910112359550562,0.0028089887640449437,0.0033707865168539327,Oedipus Tyrannus,τέκνον
Κάδμος,2,2.0,8.0,0.0,1.4324580496252113,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0008988764044943821,Oedipus Tyrannus,κάδμος
ὁ,387,387.0,456.0,322.0,18.44458785603032,351.0,423.0,8900,0.03617977528089888,0.03943820224719101,0.04348314606741573,0.04752808988764045,0.051235955056179776,Oedipus Tyrannus,ὁ
πάλα,15,15.0,27.0,5.0,3.6295867670989903,8.0,22.0,8900,0.0005617977528089888,0.0008988764044943821,0.0016853932584269663,0.0024719101123595504,0.0030337078651685393,Oedipus Tyrannus,πάλα
ναῦς,3,3.0,10.0,0.0,1.7231728512614963,0.0,6.0,8900,0.0,0.0,0.00033707865168539324,0.0006741573033707865,0.0011235955056179776,Oedipus Tyrannus,ναῦς
τρέφω,8,8.0,17.0,0.0,2.795350785498309,3.0,13.0,8900,0.0,0.00033707865168539324,0.0008988764044943821,0.0014606741573033708,0.001910112359550562,Oedipus Tyrannus,τρέφω
τίς,149,148.0,196.0,111.0,12.158402577919242,124.0,172.0,8900,0.01247191011235955,0.013932584269662922,0.016741573033707866,0.019325842696629212,0.02202247191011236,Oedipus Tyrannus,τίς
πόθι,5,5.0,14.0,0.0,2.304819690603542,0.0,10.0,8900,0.0,0.0,0.0005617977528089888,0.0011235955056179776,0.0015730337078651685,Oedipus Tyrannus,πόθι
ἕδρα,2,2.0,10.0,0.0,1.4531058060294453,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0011235955056179776,Oedipus Tyrannus,ἕδρα
ὅδε,165,165.0,212.0,123.0,12.406619515089828,141.0,189.0,8900,0.013820224719101123,0.015842696629213483,0.01853932584269663,0.021235955056179777,0.023820224719101123,Oedipus Tyrannus,ὅδε
