lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
ἀκτέα,1,1.0,6.0,0.0,1.0242065226305685,0.0,3.0,8594,0.0,0.0,0.00011636025133814289,0.0003490807540144287,0.0006981615080288574,Philoctetes,ἀκτέα
μέν,69,69.0,91.0,47.0,7.987565886501894,53.0,85.0,8594,0.005468931812892716,0.006167093320921573,0.00802885734233186,0.009890621363742146,0.010588782871771002,Philoctetes,μέν
ὅδε,159,159.0,202.0,122.0,12.17032641940409,135.0,183.0,8594,0.014195950663253432,0.01570863393064929,0.01850127996276472,0.02129392599488015,0.023504770770304863,Philoctetes,ὅδε
ὁ,342,341.0,394.0,277.0,18.10973273078373,306.0,376.0,8594,0.03223178962066558,0.03560623690947173,0.039795205957644866,0.043751454503141725,0.0458459390272283,Philoctetes,ὁ
περίρρυτος,2,2.0,9.0,0.0,1.3893299688114995,0.0,5.0,8594,0.0,0.0,0.00023272050267628578,0.0005818012566907144,0.001047242262043286,Philoctetes,περίρρυτος
χθών,7,7.0,17.0,1.0,2.7179556135600738,2.0,12.0,8594,0.00011636025133814289,0.00023272050267628578,0.0008145217593670003,0.0013963230160577147,0.0019781242727484293,Philoctetes,χθών
Λῆμνος,3,3.0,11.0,0.0,1.6878978052592524,0.0,6.0,8594,0.0,0.0,0.0003490807540144287,0.0006981615080288574,0.001279962764719572,Philoctetes,λῆμνος
βρότος,10,10.0,25.0,2.0,3.2703530071245814,4.0,16.0,8594,0.00023272050267628578,0.00046544100535257155,0.0011636025133814289,0.0018617640214102862,0.0029090062834535723,Philoctetes,βρότος
ἄστιπτος,1,1.0,5.0,0.0,0.9756045283844248,0.0,3.0,8594,0.0,0.0,0.00011636025133814289,0.0003490807540144287,0.0005818012566907144,Philoctetes,ἄστιπτος
οὐδέ,29,29.0,47.0,14.0,5.369657045214041,18.0,40.0,8594,0.0016290435187340006,0.002094484524086572,0.003374447288806144,0.004654410053525715,0.005468931812892716,Philoctetes,οὐδέ
οἰκέω,2,2.0,8.0,0.0,1.4230161717194307,0.0,5.0,8594,0.0,0.0,0.00023272050267628578,0.0005818012566907144,0.0009308820107051431,Philoctetes,οἰκέω
