lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
λόγος,27,27.0,44.0,13.0,4.895802193806356,17.0,37.0,6488,0.002003699136868064,0.0026202219482120838,0.004161528976572133,0.0057028360049321825,0.006781750924784217,Trachiniae,λόγος
μέν,59,59.0,90.0,33.0,7.632350570091447,44.0,74.0,6488,0.005086313193588163,0.006781750924784217,0.009093711467324291,0.011405672009864365,0.013871763255240444,Trachiniae,μέν
ἔστε,4,4.0,13.0,0.0,1.954731956810709,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.002003699136868064,Trachiniae,ἔστε
ἀρχαῖος,2,2.0,9.0,0.0,1.4552471459323517,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0013871763255240443,Trachiniae,ἀρχαῖος
ἄνθρωπος,6,6.0,15.0,0.0,2.4431571752584778,1.0,11.0,6488,0.0,0.00015413070283600493,0.0009247842170160296,0.0016954377311960542,0.002311960542540074,Trachiniae,ἄνθρωπος
φαίνω,13,13.0,25.0,3.0,3.5162050994926766,6.0,20.0,6488,0.0004623921085080148,0.0009247842170160296,0.002003699136868064,0.0030826140567200987,0.0038532675709001232,Trachiniae,φαίνω
ὅς,186,186.0,233.0,137.0,13.070282006455397,160.0,212.0,6488,0.021115906288532677,0.02466091245376079,0.028668310727496916,0.032675709001233046,0.03591245376078915,Trachiniae,ὅς
οὐ,94,94.0,125.0,68.0,9.585673208968208,75.0,113.0,6488,0.010480887792848335,0.01155980271270037,0.014488286066584463,0.017416769420468558,0.019266337854500618,Trachiniae,οὐ
ἄν,41,41.0,63.0,22.0,6.24549499977446,29.0,53.0,6488,0.0033908754623921083,0.004469790382244143,0.006319358816276203,0.008168927250308261,0.00971023427866831,Trachiniae,ἄν
αἰών,1,1.0,5.0,0.0,0.9955405060071133,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,αἰών
ἐκμανθάνω,5,5.0,13.0,0.0,2.1914391605530814,1.0,9.0,6488,0.0,0.00015413070283600493,0.0007706535141800247,0.0013871763255240443,0.002003699136868064,Trachiniae,ἐκμανθάνω
βρότος,7,7.0,17.0,0.0,2.619946160156327,2.0,12.0,6488,0.0,0.00030826140567200987,0.0010789149198520344,0.0018495684340320592,0.0026202219482120838,Trachiniae,βρότος
πρίν,14,14.0,34.0,3.0,3.895706543174097,6.0,22.0,6488,0.0004623921085080148,0.0009247842170160296,0.002157829839704069,0.0033908754623921083,0.0052404438964241675,Trachiniae,πρίν
θνήσκω,20,20.0,37.0,9.0,4.329664652602555,12.0,28.0,6488,0.0013871763255240443,0.0018495684340320592,0.0030826140567200987,0.004315659679408138,0.0057028360049321825,Trachiniae,θνήσκω
τίς,97,97.0,128.0,65.0,9.500706530328394,78.0,116.0,6488,0.010018495684340321,0.012022194821208384,0.014950678175092479,0.017879161528976572,0.01972872996300863,Trachiniae,τίς
οὔτε,23,23.0,43.0,11.0,4.692446584145092,14.0,32.0,6488,0.0016954377311960542,0.002157829839704069,0.0035450061652281136,0.004932182490752158,0.006627620221948212,Trachiniae,οὔτε
εἰ,59,59.0,89.0,35.0,7.876232282318429,44.0,74.0,6488,0.005394574599260173,0.006781750924784217,0.009093711467324291,0.011405672009864365,0.013717632552404439,Trachiniae,εἰ
χρηστός,2,2.0,8.0,0.0,1.452803964972343,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,χρηστός
ὁ,260,261.0,322.0,210.0,16.25550745063108,229.0,293.0,6488,0.03236744759556104,0.03529593094944513,0.040073982737361284,0.045160295930949446,0.049630086313193586,Trachiniae,ὁ
κακός,21,21.0,36.0,10.0,4.6183305450105046,12.0,30.0,6488,0.0015413070283600493,0.0018495684340320592,0.0032367447595561035,0.004623921085080148,0.005548705302096177,Trachiniae,κακός
ἐγώ,156,156.0,192.0,117.0,12.1916897393798,132.0,180.0,6488,0.018033292231812575,0.020345252774352653,0.02404438964241677,0.027743526510480888,0.029593094944512947,Trachiniae,ἐγώ
δέ,162,162.0,203.0,121.0,12.811110702923358,137.0,187.0,6488,0.018649815043156596,0.021115906288532677,0.0249691738594328,0.028822441430332923,0.031288532675709003,Trachiniae,δέ
ἐμός,19,19.0,41.0,7.0,4.596154845154737,10.0,28.0,6488,0.0010789149198520344,0.0015413070283600493,0.002928483353884094,0.004315659679408138,0.006319358816276203,Trachiniae,ἐμός
καί,108,108.0,149.0,77.0,10.690057468102248,87.0,129.0,6488,0.011868064118372379,0.01340937114673243,0.016646115906288533,0.019882860665844635,0.022965474722564733,Trachiniae,καί
εἶμι,19,19.0,36.0,7.0,4.375357613470498,10.0,28.0,6488,0.0010789149198520344,0.0015413070283600493,0.002928483353884094,0.004315659679408138,0.005548705302096177,Trachiniae,εἶμι
Ἅιδης,5,5.0,13.0,0.0,2.286916267375352,1.0,9.0,6488,0.0,0.00015413070283600493,0.0007706535141800247,0.0013871763255240443,0.002003699136868064,Trachiniae,ἅιδης
βλώσκω,8,8.0,19.0,1.0,2.882718497194261,2.0,14.0,6488,0.00015413070283600493,0.00030826140567200987,0.0012330456226880395,0.002157829839704069,0.002928483353884094,Trachiniae,βλώσκω
ἔξοιδα,3,3.0,10.0,0.0,1.7250021355442917,0.0,6.0,6488,0.0,0.0,0.0004623921085080148,0.0009247842170160296,0.0015413070283600493,Trachiniae,ἔξοιδα
ἔχω,28,28.0,55.0,14.0,5.268109435364552,18.0,38.0,6488,0.002157829839704069,0.0027743526510480886,0.004315659679408138,0.005856966707768188,0.008477188655980272,Trachiniae,ἔχω
δυστυχέω,2,2.0,7.0,0.0,1.3626559245940146,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,δυστυχέω
σύ,76,76.0,107.0,53.0,9.105443476245455,58.0,94.0,6488,0.008168927250308261,0.008939580764488286,0.011713933415536375,0.014488286066584463,0.016491985203452526,Trachiniae,σύ
βαρύς,6,6.0,17.0,0.0,2.4959531681868987,1.0,11.0,6488,0.0,0.00015413070283600493,0.0009247842170160296,0.0016954377311960542,0.0026202219482120838,Trachiniae,βαρύς
ὅστις,21,21.0,36.0,7.0,4.529296796471773,12.0,30.0,6488,0.0010789149198520344,0.0018495684340320592,0.0032367447595561035,0.004623921085080148,0.005548705302096177,Trachiniae,ὅστις
πατήρ,33,33.0,50.0,18.0,5.658898379466702,22.0,44.0,6488,0.0027743526510480886,0.0033908754623921083,0.005086313193588163,0.006781750924784217,0.0077065351418002465,Trachiniae,πατήρ
ἐν,37,37.0,58.0,22.0,5.891196296695079,25.0,49.0,6488,0.0033908754623921083,0.0038532675709001232,0.0057028360049321825,0.007552404438964242,0.008939580764488286,Trachiniae,ἐν
δόμος,19,19.0,35.0,7.0,4.447893236775614,10.0,28.0,6488,0.0010789149198520344,0.0015413070283600493,0.002928483353884094,0.004315659679408138,0.005394574599260173,Trachiniae,δόμος
Οἰνεύς,6,6.0,17.0,0.0,2.4774559959337745,1.0,11.0,6488,0.0,0.00015413070283600493,0.0009247842170160296,0.0016954377311960542,0.0026202219482120838,Trachiniae,οἰνεύς
ναίω,4,4.0,11.0,0.0,2.0130150943869674,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.0016954377311960542,Trachiniae,ναίω
ἔτης,5,5.0,13.0,0.0,2.2199018077302513,1.0,9.0,6488,0.0,0.00015413070283600493,0.0007706535141800247,0.0013871763255240443,0.002003699136868064,Trachiniae,ἔτης
Πλευρών,1,1.0,7.0,0.0,0.9981861671930865,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0010789149198520344,Trachiniae,πλευρών
νυμφεῖος,2,2.0,7.0,0.0,1.3608020494481252,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,νυμφεῖος
ὄκνος,1,1.0,5.0,0.0,0.9833610735630128,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,ὄκνος
ἀλγίων,1,1.0,5.0,0.0,0.9874203770426256,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,ἀλγίων
γυνή,25,25.0,39.0,9.0,4.993438251788598,15.0,35.0,6488,0.0013871763255240443,0.002311960542540074,0.0038532675709001232,0.005394574599260173,0.006011097410604192,Trachiniae,γυνή
μνηστήρ,2,2.0,8.0,0.0,1.4610630700641551,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,μνηστήρ
γάρ,77,77.0,99.0,48.0,8.653187178817316,60.0,94.0,6488,0.007398273736128237,0.009247842170160296,0.011868064118372379,0.014488286066584463,0.015258939580764488,Trachiniae,γάρ
ἐάν,26,26.0,44.0,11.0,5.24455228511726,16.0,36.0,6488,0.0016954377311960542,0.002466091245376079,0.004007398273736128,0.005548705302096177,0.006781750924784217,Trachiniae,ἐάν
ποταμός,3,3.0,10.0,0.0,1.7512507304435652,0.0,6.0,6488,0.0,0.0,0.0004623921085080148,0.0009247842170160296,0.0015413070283600493,Trachiniae,ποταμός
Ἀχελώιος,2,2.0,7.0,0.0,1.3971270650746253,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,ἀχελώιος
