lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
ἀεί,19,19.0,31.0,8.0,4.230597835053342,11.0,27.0,7751,0.0010321248871113405,0.0014191717197780931,0.0024512966068894336,0.003483421494000774,0.003999483937556445,Ajax,ἀεί
μέν,51,51.0,79.0,29.0,7.438815633014315,36.0,66.0,7751,0.0037414527157786093,0.004644561992001032,0.006579796155334795,0.008515030318668558,0.010192233260224488,Ajax,μέν
ὦ,50,50.0,73.0,30.0,6.690810941055732,37.0,63.0,7751,0.003870468326667527,0.00477357760288995,0.006450780544445878,0.008127983486001807,0.009418139594890981,Ajax,ὦ
παῖς,23,23.0,39.0,10.0,4.843437530606445,14.0,32.0,7751,0.0012901561088891757,0.0018062185524448458,0.002967359050445104,0.004128499548445362,0.0050316088246677845,Ajax,παῖς
λάρτιος,2,2.0,7.0,0.0,1.3571610493549044,0.0,5.0,7751,0.0,0.0,0.0002580312217778351,0.0006450780544445878,0.0009031092762224229,Ajax,λάρτιος
δέρκομαι,4,4.0,11.0,0.0,1.9167170359247598,0.0,8.0,7751,0.0,0.0,0.0005160624435556702,0.0010321248871113405,0.0014191717197780931,Ajax,δέρκομαι
σύ,134,134.0,171.0,100.0,11.715466693229075,111.0,157.0,7751,0.012901561088891756,0.014320732808669849,0.01728809185911495,0.020255450909560057,0.022061669462004902,Ajax,σύ
πείρω,1,1.0,5.0,0.0,1.0181156322144493,0.0,3.0,7751,0.0,0.0,0.00012901561088891756,0.00038704683266675265,0.0006450780544445878,Ajax,πείρω
τιν,8,8.0,17.0,0.0,2.7833391857581833,3.0,13.0,7751,0.0,0.00038704683266675265,0.0010321248871113405,0.0016772029415559283,0.0021932653851115987,Ajax,τιν
ἐχθρός,18,18.0,31.0,7.0,4.003282619085459,10.0,26.0,7751,0.0009031092762224229,0.0012901561088891757,0.002322280996000516,0.0033544058831118566,0.003999483937556445,Ajax,ἐχθρός
ἁρπάζω,1,1.0,6.0,0.0,1.0455146575256107,0.0,3.0,7751,0.0,0.0,0.00012901561088891756,0.00038704683266675265,0.0007740936653335053,Ajax,ἁρπάζω
θηράω,1,1.0,7.0,0.0,0.9757386607416553,0.0,3.0,7751,0.0,0.0,0.00012901561088891756,0.00038704683266675265,0.0009031092762224229,Ajax,θηράω
καί,151,152.0,189.0,114.0,11.934309542480621,129.0,175.0,7751,0.014707779641336603,0.016643013804670367,0.01948135724422655,0.02257773190556057,0.02438395045800542,Ajax,καί
νῦν,39,39.0,57.0,22.0,6.0564586441823645,27.0,51.0,7751,0.0028383434395561863,0.003483421494000774,0.0050316088246677845,0.006579796155334795,0.007353889820668301,Ajax,νῦν
ἐπί,17,17.0,30.0,6.0,4.001368646969568,9.0,25.0,7751,0.0007740936653335053,0.001161140498000258,0.0021932653851115987,0.003225390272222939,0.003870468326667527,Ajax,ἐπί
σκηνή,5,5.0,13.0,0.0,2.250319102691009,1.0,9.0,7751,0.0,0.00012901561088891756,0.0006450780544445878,0.001161140498000258,0.0016772029415559283,Ajax,σκηνή
ναυτικός,3,3.0,10.0,0.0,1.6711454971747028,0.0,6.0,7751,0.0,0.0,0.00038704683266675265,0.0007740936653335053,0.0012901561088891757,Ajax,ναυτικός
ὁράω,17,17.0,30.0,5.0,4.070368545955035,9.0,25.0,7751,0.0006450780544445878,0.001161140498000258,0.0021932653851115987,0.003225390272222939,0.003870468326667527,Ajax,ὁράω
Αἴας,38,38.0,60.0,18.0,6.235025938322025,26.0,50.0,7751,0.002322280996000516,0.0033544058831118566,0.004902593213778867,0.006450780544445878,0.007740936653335054,Ajax,αἴας
ἔνθα,4,4.0,12.0,0.0,1.9571524096108428,0.0,8.0,7751,0.0,0.0,0.0005160624435556702,0.0010321248871113405,0.0015481873306670106,Ajax,ἔνθα
τάξις,1,1.0,6.0,0.0,1.0161886442188564,0.0,3.0,7751,0.0,0.0,0.00012901561088891756,0.00038704683266675265,0.0007740936653335053,Ajax,τάξις
ἔσχατος,1,1.0,5.0,0.0,1.0072930857696571,0.0,3.0,7751,0.0,0.0,0.00012901561088891756,0.00038704683266675265,0.0006450780544445878,Ajax,ἔσχατος
ἔχω,49,49.0,68.0,31.0,7.032288881515525,35.0,63.0,7751,0.003999483937556445,0.004515546381112115,0.006321764933556961,0.008127983486001807,0.008773061540446395,Ajax,ἔχω
πάλαι,4,4.0,12.0,0.0,2.0121409713812994,0.0,8.0,7751,0.0,0.0,0.0005160624435556702,0.0010321248871113405,0.0015481873306670106,Ajax,πάλαι
κυνηγετέω,1,1.0,5.0,0.0,1.044919204463263,0.0,3.0,7751,0.0,0.0,0.00012901561088891756,0.00038704683266675265,0.0006450780544445878,Ajax,κυνηγετέω
μετρέω,1,1.0,5.0,0.0,0.9715225905022149,0.0,3.0,7751,0.0,0.0,0.00012901561088891756,0.00038704683266675265,0.0006450780544445878,Ajax,μετρέω
ἴχνος,2,2.0,9.0,0.0,1.3338975662631434,0.0,5.0,7751,0.0,0.0,0.0002580312217778351,0.0006450780544445878,0.001161140498000258,Ajax,ἴχνος
