lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
ὦ,36,36.0,56.0,19.0,5.823007177345106,25.0,47.0,7224,0.002630121816168328,0.0034606866002214838,0.0049833887043189366,0.00650609080841639,0.007751937984496124,Antigone,ὦ
κοινός,8,8.0,20.0,0.0,2.874539445368081,2.0,14.0,7224,0.0,0.0002768549280177187,0.0011074197120708748,0.001937984496124031,0.0027685492801771874,Antigone,κοινός
αὐτάδελφος,3,3.0,11.0,0.0,1.746494705472585,0.0,6.0,7224,0.0,0.0,0.0004152823920265781,0.0008305647840531562,0.001522702104097453,Antigone,αὐτάδελφος
Ἰσμήνη,2,2.0,7.0,0.0,1.3929263283618902,0.0,5.0,7224,0.0,0.0,0.0002768549280177187,0.0006921373200442968,0.0009689922480620155,Antigone,ἰσμήνη
κάρα,7,7.0,16.0,0.0,2.633750056599785,2.0,12.0,7224,0.0,0.0002768549280177187,0.0009689922480620155,0.0016611295681063123,0.0022148394241417496,Antigone,κάρα
ἆρ,7,7.0,19.0,0.0,2.585760978930541,2.0,12.0,7224,0.0,0.0002768549280177187,0.0009689922480620155,0.0016611295681063123,0.002630121816168328,Antigone,ἆρ
οἶσθ,1,1.0,5.0,0.0,0.9520523075984801,0.0,3.0,7224,0.0,0.0,0.00013842746400885935,0.0004152823920265781,0.0006921373200442968,Antigone,οἶσθ
ὁ,373,373.0,431.0,321.0,18.359329427377705,337.0,409.0,7224,0.04443521594684385,0.046650055370985606,0.05163344407530454,0.056616832779623476,0.05966223698781838,Antigone,ὁ
τις,61,61.0,86.0,36.0,7.741320298246285,46.0,76.0,7224,0.0049833887043189366,0.00636766334440753,0.008444075304540421,0.010520487264673311,0.011904761904761904,Antigone,τις
Ζεύς,14,14.0,29.0,3.0,3.62285866341828,7.0,21.0,7224,0.0004152823920265781,0.0009689922480620155,0.001937984496124031,0.0029069767441860465,0.004014396456256921,Antigone,ζεύς
ἀπό,9,9.0,21.0,1.0,2.8854248081827296,3.0,15.0,7224,0.00013842746400885935,0.0004152823920265781,0.0012458471760797341,0.0020764119601328905,0.0029069767441860465,Antigone,ἀπό
Οἰδίπους,6,6.0,16.0,0.0,2.478288136579795,1.0,11.0,7224,0.0,0.00013842746400885935,0.0008305647840531562,0.001522702104097453,0.0022148394241417496,Antigone,οἰδίπους
κακός,50,50.0,73.0,32.0,6.742245480985857,37.0,63.0,7224,0.004429678848283499,0.0051218161683277965,0.0069213732004429675,0.00872093023255814,0.010105204872646734,Antigone,κακός
ὁποῖος,4,4.0,11.0,0.0,2.000379084952766,0.0,8.0,7224,0.0,0.0,0.0005537098560354374,0.0011074197120708748,0.001522702104097453,Antigone,ὁποῖος
οὐ,109,109.0,141.0,80.0,10.155303727914488,89.0,129.0,7224,0.01107419712070875,0.012320044296788483,0.01508859357696567,0.017857142857142856,0.01951827242524917,Antigone,οὐ
ἐγώ,147,147.0,188.0,112.0,11.846403872706894,124.0,170.0,7224,0.015503875968992248,0.01716500553709856,0.020348837209302327,0.02353266888150609,0.02602436323366556,Antigone,ἐγώ
ἔτι,15,15.0,29.0,4.0,3.8505032949441365,7.0,23.0,7224,0.0005537098560354374,0.0009689922480620155,0.0020764119601328905,0.003183831672203765,0.004014396456256921,Antigone,ἔτι
ζάω,19,19.0,33.0,6.0,4.332692209033754,11.0,27.0,7224,0.0008305647840531562,0.001522702104097453,0.002630121816168328,0.003737541528239203,0.004568106312292359,Antigone,ζάω
τελέω,3,3.0,10.0,0.0,1.6849975617836246,0.0,6.0,7224,0.0,0.0,0.0004152823920265781,0.0008305647840531562,0.0013842746400885937,Antigone,τελέω
