lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
ὦ,74,74.0,102.0,46.0,8.464428949584104,57.0,91.0,8048,0.005715705765407555,0.007082504970178927,0.0091948310139165,0.011307157057654076,0.012673956262425448,Electra,ὦ
ὁ,384,384.0,452.0,327.0,19.297778725445678,346.0,422.0,8048,0.04063121272365805,0.042992047713717695,0.04771371769383698,0.052435387673956266,0.05616302186878728,Electra,ὁ
στρατηγέω,1,1.0,5.0,0.0,0.9996602819561672,0.0,3.0,8048,0.0,0.0,0.00012425447316103378,0.0003727634194831014,0.000621272365805169,Electra,στρατηγέω
ἐν,63,63.0,86.0,39.0,7.6870096840135345,48.0,78.0,8048,0.004845924453280318,0.005964214711729622,0.007828031809145129,0.009691848906560637,0.010685884691848906,Electra,ἐν
Τροία,1,1.0,5.0,0.0,0.9232408279390828,0.0,3.0,8048,0.0,0.0,0.00012425447316103378,0.0003727634194831014,0.000621272365805169,Electra,τροία
ποτέ,20,20.0,36.0,6.0,4.32444137511346,12.0,28.0,8048,0.0007455268389662028,0.0014910536779324055,0.002485089463220676,0.0034791252485089465,0.0044731610337972166,Electra,ποτέ
Ἀγαμέμνων,4,4.0,11.0,0.0,1.9919026893089704,0.0,8.0,8048,0.0,0.0,0.0004970178926441351,0.0009940357852882703,0.0013667992047713719,Electra,ἀγαμέμνων
παῖς,19,19.0,34.0,6.0,4.322420696706959,11.0,27.0,8048,0.0007455268389662028,0.0013667992047713719,0.002360834990059642,0.0033548707753479124,0.004224652087475149,Electra,παῖς
νῦν,58,58.0,82.0,33.0,7.629474367273221,43.0,73.0,8048,0.004100397614314116,0.005342942345924453,0.00720675944333996,0.009070576540755467,0.010188866799204771,Electra,νῦν
ἐκεῖν,2,2.0,7.0,0.0,1.4086418026850325,0.0,5.0,8048,0.0,0.0,0.00024850894632206757,0.000621272365805169,0.0008697813121272366,Electra,ἐκεῖν
ἔξεστι,3,3.0,9.0,0.0,1.7535675068268741,0.0,6.0,8048,0.0,0.0,0.0003727634194831014,0.0007455268389662028,0.0011182902584493041,Electra,ἔξεστι
σύ,164,163.0,202.0,127.0,12.546439847508642,138.0,188.0,8048,0.015780318091451292,0.017147117296222664,0.020377733598409543,0.023359840954274354,0.02509940357852883,Electra,σύ
πάρειμι,22,22.0,39.0,10.0,4.618973812538783,13.0,31.0,8048,0.001242544731610338,0.0016153081510934394,0.0027335984095427437,0.003851888667992048,0.004845924453280318,Electra,πάρειμι
λεύσσω,3,3.0,11.0,0.0,1.7946323564187907,0.0,7.0,8048,0.0,0.0,0.0003727634194831014,0.0008697813121272366,0.0013667992047713719,Electra,λεύσσω
ὅς,75,75.0,104.0,51.0,8.62721236592639,58.0,92.0,8048,0.006336978131212724,0.00720675944333996,0.009319085487077534,0.01143141153081511,0.012922465208747515,Electra,ὅς
πρόθυμος,1,1.0,7.0,0.0,1.0280929067817932,0.0,3.0,8048,0.0,0.0,0.00012425447316103378,0.0003727634194831014,0.0008697813121272366,Electra,πρόθυμος
εἰμί,137,137.0,175.0,104.0,11.207069358061617,115.0,159.0,8048,0.012922465208747515,0.014289264413518887,0.01702286282306163,0.019756461232604373,0.021744532803180915,Electra,εἰμί
ἀεί,24,24.0,41.0,8.0,4.872069471904206,14.0,34.0,8048,0.0009940357852882703,0.0017395626242544733,0.002982107355864811,0.004224652087475149,0.005094433399602386,Electra,ἀεί
γάρ,132,132.0,178.0,98.0,11.504433754166087,109.0,155.0,8048,0.012176938369781311,0.013543737574552683,0.016401590457256462,0.019259443339960238,0.022117296222664017,Electra,γάρ
παλαιός,3,3.0,12.0,0.0,1.8115430747537566,0.0,7.0,8048,0.0,0.0,0.0003727634194831014,0.0008697813121272366,0.0014910536779324055,Electra,παλαιός
Ἄργος,1,1.0,6.0,0.0,1.0157146861576438,0.0,3.0,8048,0.0,0.0,0.00012425447316103378,0.0003727634194831014,0.0007455268389662028,Electra,ἄργος
ποθέω,3,3.0,11.0,0.0,1.7127528944720696,0.0,6.0,8048,0.0,0.0,0.0003727634194831014,0.0007455268389662028,0.0013667992047713719,Electra,ποθέω
ὅδε,85,85.0,115.0,62.0,9.108280585531787,67.0,103.0,8048,0.007703777335984096,0.008325049701789265,0.010561630218687872,0.012798210735586481,0.014289264413518887,Electra,ὅδε
οἰστροπλήξ,1,1.0,5.0,0.0,1.0444515885760934,0.0,3.0,8048,0.0,0.0,0.00012425447316103378,0.0003727634194831014,0.000621272365805169,Electra,οἰστροπλήξ
ἄλσος,2,2.0,8.0,0.0,1.425431914844118,0.0,5.0,8048,0.0,0.0,0.00024850894632206757,0.000621272365805169,0.0009940357852882703,Electra,ἄλσος
Ἴναχος,1,1.0,5.0,0.0,0.9725513579529538,0.0,3.0,8048,0.0,0.0,0.00012425447316103378,0.0003727634194831014,0.000621272365805169,Electra,ἴναχος
κόρη,4,4.0,12.0,0.0,1.9368001459094335,0.0,8.0,8048,0.0,0.0,0.0004970178926441351,0.0009940357852882703,0.0014910536779324055,Electra,κόρη
οὗτος,65,65.0,95.0,39.0,7.883933130005695,50.0,80.0,8048,0.004845924453280318,0.00621272365805169,0.008076540755467198,0.009940357852882704,0.01180417495029821,Electra,οὗτος
δ,111,111.0,151.0,79.0,10.756059184980773,90.0,132.0,8048,0.00981610337972167,0.011182902584493042,0.01379224652087475,0.016401590457256462,0.018762425447316104,Electra,δ
Ὀρέστης,26,26.0,44.0,13.0,5.280755213449648,16.0,36.0,8048,0.0016153081510934394,0.0019880715705765406,0.0032306163021868788,0.0044731610337972166,0.0054671968190854875,Electra,ὀρέστης
λυκοκτόνος,1,1.0,5.0,0.0,1.021481559023254,0.0,3.0,8048,0.0,0.0,0.00012425447316103378,0.0003727634194831014,0.000621272365805169,Electra,λυκοκτόνος
θεός,23,23.0,38.0,8.0,4.693923633903632,14.0,32.0,8048,0.0009940357852882703,0.0017395626242544733,0.0028578528827037774,0.003976143141153081,0.004721669980119284,Electra,θεός
