lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
τέκνον,34,34.0,59.0,17.0,5.8380088773782886,23.0,45.0,10110,0.0016815034619188922,0.002274975272007913,0.0033630069238377845,0.004451038575667656,0.005835806132542038,Oedipus Colonus,τέκνον
τυφλόω,3,3.0,10.0,0.0,1.641102307358308,0.0,6.0,10110,0.0,0.0,0.0002967359050445104,0.0005934718100890207,0.0009891196834817012,Oedipus Colonus,τυφλόω
γέρων,14,14.0,25.0,3.0,3.693021201456263,7.0,21.0,10110,0.0002967359050445104,0.0006923837784371909,0.0013847675568743817,0.0020771513353115725,0.002472799208704253,Oedipus Colonus,γέρων
Ἀντιγόνη,4,4.0,10.0,0.0,1.9605102396061138,0.0,8.0,10110,0.0,0.0,0.0003956478733926805,0.000791295746785361,0.0009891196834817012,Oedipus Colonus,ἀντιγόνη
τίς,73,73.0,101.0,44.0,8.718435460741626,56.0,90.0,10110,0.004352126607319486,0.005539070227497527,0.007220573689416419,0.008902077151335312,0.009990108803165183,Oedipus Colonus,τίς
χῶρος,10,10.0,20.0,3.0,3.1826593721793093,4.0,16.0,10110,0.0002967359050445104,0.0003956478733926805,0.0009891196834817012,0.001582591493570722,0.0019782393669634025,Oedipus Colonus,χῶρος
ἀφίγμεθ,1,1.0,6.0,0.0,0.9572208356861669,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,ἀφίγμεθ
ἤ,51,51.0,75.0,31.0,7.152699133551261,37.0,65.0,10110,0.003066271018793274,0.003659742828882295,0.005044510385756677,0.006429277942631058,0.00741839762611276,Oedipus Colonus,ἤ
ἀνήρ,44,44.0,62.0,24.0,6.50824375413496,31.0,57.0,10110,0.002373887240356083,0.003066271018793274,0.004352126607319486,0.005637982195845697,0.006132542037586548,Oedipus Colonus,ἀνήρ
πόλις,42,42.0,66.0,23.0,6.521472716619033,29.0,55.0,10110,0.002274975272007913,0.0028684470820969335,0.004154302670623145,0.005440158259149357,0.006528189910979229,Oedipus Colonus,πόλις
τις,103,103.0,142.0,74.0,10.119172315542821,83.0,123.0,10110,0.00731948565776459,0.008209693372898121,0.010187932739861523,0.012166172106824925,0.014045499505440158,Oedipus Colonus,τις
ὁ,527,527.0,611.0,451.0,22.021058897451656,484.0,570.0,10110,0.04460929772502473,0.04787339268051434,0.05212660731948566,0.05637982195845697,0.06043521266073195,Oedipus Colonus,ὁ
πλανάω,4,4.0,11.0,0.0,1.9883677712149772,0.0,8.0,10110,0.0,0.0,0.0003956478733926805,0.000791295746785361,0.0010880316518298715,Oedipus Colonus,πλανάω
Οἰδίπους,15,15.0,32.0,6.0,3.88116844925192,7.0,23.0,10110,0.0005934718100890207,0.0006923837784371909,0.001483679525222552,0.002274975272007913,0.003165182987141444,Oedipus Colonus,οἰδίπους
κατά,25,25.0,45.0,11.0,4.932137267146769,15.0,35.0,10110,0.0010880316518298715,0.001483679525222552,0.002472799208704253,0.0034619188921859545,0.004451038575667656,Oedipus Colonus,κατά
ἡμέρα,7,7.0,17.0,1.0,2.6542416998078786,2.0,12.0,10110,9.891196834817012e-05,0.00019782393669634025,0.0006923837784371909,0.0011869436201780415,0.0016815034619188922,Oedipus Colonus,ἡμέρα
