lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
ὦ,62,62.0,87.0,39.0,7.9122325910848055,46.0,78.0,8924,0.004370237561631555,0.005154639175257732,0.006947557149260422,0.00874047512326311,0.009748991483639623,Oedipus Tyrannus,ὦ
τέκνον,14,14.0,28.0,4.0,3.6806989085694592,7.0,21.0,8924,0.00044822949350067237,0.0007844016136261766,0.0015688032272523531,0.00235320484087853,0.0031376064545047063,Oedipus Tyrannus,τέκνον
Κάδμος,2,2.0,7.0,0.0,1.3398875703948796,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0007844016136261766,Oedipus Tyrannus,κάδμος
ὁ,459,459.0,525.0,388.0,20.492193099372702,419.0,499.0,8924,0.043478260869565216,0.04695203944419543,0.051434334379202154,0.05591662931420888,0.05883012102196324,Oedipus Tyrannus,ὁ
πάλαι,15,15.0,28.0,3.0,3.847211323157984,7.0,23.0,8924,0.00033617212012550425,0.0007844016136261766,0.0016808606006275212,0.002577319587628866,0.0031376064545047063,Oedipus Tyrannus,πάλαι
νέος,3,3.0,10.0,0.0,1.7605818219123874,0.0,6.0,8924,0.0,0.0,0.00033617212012550425,0.0006723442402510085,0.0011205737337516809,Oedipus Tyrannus,νέος
τροφή,1,1.0,6.0,0.0,0.9629769858748827,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,τροφή
τίς,61,61.0,89.0,43.0,7.549556423910105,46.0,76.0,8924,0.004818467055132228,0.005154639175257732,0.006835499775885253,0.008516360376512775,0.00997310623038996,Oedipus Tyrannus,τίς
ποθ,5,5.0,15.0,0.0,2.325687248711914,0.0,10.0,8924,0.0,0.0,0.0005602868668758404,0.0011205737337516809,0.0016808606006275212,Oedipus Tyrannus,ποθ
ἕδρα,2,2.0,10.0,0.0,1.4562140778606163,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0011205737337516809,Oedipus Tyrannus,ἕδρα
ὅδε,77,77.0,106.0,52.0,8.934155185082075,59.0,95.0,8924,0.00582698341550874,0.006611385029134917,0.008628417749887943,0.010645450470640968,0.011878081577767817,Oedipus Tyrannus,ὅδε
ἐγώ,208,208.0,262.0,156.0,14.59864574343995,179.0,237.0,8924,0.01748095024652622,0.02005826983415509,0.02330793366203496,0.026557597489914837,0.02935903182429404,Oedipus Tyrannus,ἐγώ
θοάζω,1,1.0,5.0,0.0,1.0127903315811433,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,θοάζω
ἱκετήριος,2,2.0,7.0,0.0,1.39355086594786,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0007844016136261766,Oedipus Tyrannus,ἱκετήριος
κλάδος,2,2.0,9.0,0.0,1.4393319018476383,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0010085163603765128,Oedipus Tyrannus,κλάδος
ἐκστέφω,2,2.0,8.0,0.0,1.4459706666565386,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0008964589870013447,Oedipus Tyrannus,ἐκστέφω
πόλις,25,25.0,44.0,11.0,4.848330402551755,15.0,35.0,8924,0.001232631107126849,0.0016808606006275212,0.002801434334379202,0.003922008068130883,0.004930524428507396,Oedipus Tyrannus,πόλις
δ,137,137.0,184.0,95.0,11.814089524322682,114.0,160.0,8924,0.010645450470640968,0.012774540564769161,0.015351860152398028,0.017929179740026894,0.020618556701030927,Oedipus Tyrannus,δ
ὁμοῦ,8,8.0,18.0,1.0,2.765101844740666,3.0,13.0,8924,0.00011205737337516809,0.00033617212012550425,0.0008964589870013447,0.001456745853877185,0.0020170327207530256,Oedipus Tyrannus,ὁμοῦ
μέν,71,71.0,102.0,43.0,8.59203880747349,54.0,88.0,8924,0.004818467055132228,0.006051098162259076,0.007956073509636934,0.009861048857014791,0.011429852084267144,Oedipus Tyrannus,μέν
θυμίαμα,1,1.0,5.0,0.0,1.031067844082481,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,θυμίαμα
γέμω,1,1.0,5.0,0.0,1.0011871075756138,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,γέμω
δέ,80,80.0,113.0,56.0,8.808109513782924,63.0,97.0,8924,0.0062752129090094125,0.00705961452263559,0.008964589870013447,0.010869565217391304,0.012662483191393993,Oedipus Tyrannus,δέ
Παιάν,3,3.0,9.0,0.0,1.776168692657094,0.0,6.0,8924,0.0,0.0,0.00033617212012550425,0.0006723442402510085,0.0010085163603765128,Oedipus Tyrannus,παιάν
τε,52,52.0,80.0,34.0,7.262329142597742,38.0,66.0,8924,0.003809950694755715,0.004258180188256387,0.00582698341550874,0.007395786642761094,0.008964589870013447,Oedipus Tyrannus,τε
καί,152,152.0,192.0,111.0,12.087543724293749,128.0,176.0,8924,0.012438368444643657,0.014343343792021516,0.01703272075302555,0.019722097714029583,0.021515015688032272,Oedipus Tyrannus,καί
στέναγμα,1,1.0,5.0,0.0,0.9873960952682777,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,στέναγμα
δικαιόω,3,3.0,10.0,0.0,1.8007513139535034,0.0,7.0,8924,0.0,0.0,0.00033617212012550425,0.0007844016136261766,0.0011205737337516809,Oedipus Tyrannus,δικαιόω
μή,70,70.0,95.0,45.0,8.035585813158827,54.0,86.0,8924,0.005042581801882564,0.006051098162259076,0.007844016136261766,0.009636934110264455,0.010645450470640968,Oedipus Tyrannus,μή
παρ,9,9.0,19.0,1.0,2.9415369045176663,3.0,15.0,8924,0.00011205737337516809,0.00033617212012550425,0.0010085163603765128,0.0016808606006275212,0.0021290900941281937,Oedipus Tyrannus,παρ
ἄγγελος,3,3.0,10.0,0.0,1.7448580087014187,0.0,6.0,8924,0.0,0.0,0.00033617212012550425,0.0006723442402510085,0.0011205737337516809,Oedipus Tyrannus,ἄγγελος
ἄλλος,32,32.0,50.0,11.0,5.621199704145556,21.0,43.0,8924,0.001232631107126849,0.00235320484087853,0.003585835948005379,0.004818467055132228,0.005602868668758404,Oedipus Tyrannus,ἄλλος
ἀκούω,17,17.0,30.0,4.0,4.211986605965305,9.0,25.0,8924,0.00044822949350067237,0.0010085163603765128,0.0019049753473778575,0.002801434334379202,0.0033617212012550424,Oedipus Tyrannus,ἀκούω
αὐτός,57,57.0,85.0,34.0,7.666211137634626,42.0,72.0,8924,0.003809950694755715,0.00470640968175706,0.006387270282384581,0.008068130883012102,0.009524876736889287,Oedipus Tyrannus,αὐτός
ὧδ,12,12.0,29.0,4.0,3.5428751087166566,5.0,19.0,8924,0.00044822949350067237,0.0005602868668758404,0.001344688480502017,0.0021290900941281937,0.0032496638278798743,Oedipus Tyrannus,ὧδ
ἔρχομαι,22,22.0,38.0,9.0,4.6179093660537465,13.0,31.0,8924,0.0010085163603765128,0.001456745853877185,0.002465262214253698,0.003473778574630211,0.004258180188256387,Oedipus Tyrannus,ἔρχομαι
