lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
ἀκτή,3,3.0,9.0,0.0,1.7863233327007346,0.0,7.0,8598,0.0,0.0,0.0003489183531053733,0.0008141428239125378,0.00104675505931612,Philoctetes,ἀκτή
μέν,69,69.0,96.0,42.0,8.253972494384872,53.0,85.0,8598,0.004884856943475227,0.006164224238194929,0.008025122121423587,0.009886020004652244,0.011165387299371946,Philoctetes,μέν
ὅδε,77,77.0,102.0,50.0,8.79948175297155,60.0,94.0,8598,0.005815305885089556,0.006978367062107467,0.008955571063037916,0.010932775063968364,0.011863224005582694,Philoctetes,ὅδε
ὁ,393,392.0,457.0,326.0,19.764128344826368,353.0,431.0,8598,0.037915794370783906,0.04105605954873226,0.04570830425680391,0.05012793672947197,0.05315189578971854,Philoctetes,ὁ
περίρρυτος,2,2.0,7.0,0.0,1.3593587252289825,0.0,5.0,8598,0.0,0.0,0.00023261223540358222,0.0005815305885089556,0.0008141428239125378,Philoctetes,περίρρυτος
χθών,6,6.0,14.0,0.0,2.4041497590491496,1.0,11.0,8598,0.0,0.00011630611770179111,0.0006978367062107466,0.0012793672947197022,0.0016282856478250756,Philoctetes,χθών
Λῆμνος,3,3.0,10.0,0.0,1.6726028816190686,0.0,6.0,8598,0.0,0.0,0.0003489183531053733,0.0006978367062107466,0.0011630611770179111,Philoctetes,λῆμνος
βροτός,10,10.0,22.0,2.0,3.2765802328003475,4.0,16.0,8598,0.00023261223540358222,0.00046522447080716444,0.0011630611770179111,0.0018608978832286578,0.0025587345894394044,Philoctetes,βροτός
ἄστιπτος,1,1.0,5.0,0.0,0.9756045283844238,0.0,3.0,8598,0.0,0.0,0.00011630611770179111,0.0003489183531053733,0.0005815305885089556,Philoctetes,ἄστιπτος
οὐδ,15,15.0,29.0,5.0,3.764683938240387,8.0,22.0,8598,0.0005815305885089556,0.0009304489416143289,0.0017445917655268667,0.0025587345894394044,0.0033728774133519423,Philoctetes,οὐδ
οἰκουμένη,2,2.0,7.0,0.0,1.368035992773027,0.0,5.0,8598,0.0,0.0,0.00023261223540358222,0.0005815305885089556,0.0008141428239125378,Philoctetes,οἰκουμένη
εἰμί,151,150.0,192.0,119.0,12.318693996451977,126.0,174.0,8598,0.013840428006513143,0.01465457083042568,0.017562223772970457,0.020237264480111653,0.022330774598743892,Philoctetes,εἰμί
ὦ,115,115.0,157.0,84.0,10.447447192838677,95.0,135.0,8598,0.009769713886950453,0.011049081181670155,0.013375203535705978,0.0157013258897418,0.018260060479181203,Philoctetes,ὦ
κράτιστος,3,3.0,11.0,0.0,1.7271464804801482,0.0,6.0,8598,0.0,0.0,0.0003489183531053733,0.0006978367062107466,0.0012793672947197022,Philoctetes,κράτιστος
πατήρ,23,23.0,43.0,8.0,4.788317660095871,14.0,32.0,8598,0.0009304489416143289,0.0016282856478250756,0.0026750407071411955,0.0037217957664573155,0.005001163061177018,Philoctetes,πατήρ
Ἕλλην,3,3.0,9.0,0.0,1.7300147539691857,0.0,6.0,8598,0.0,0.0,0.0003489183531053733,0.0006978367062107466,0.00104675505931612,Philoctetes,ἕλλην
τρέφω,3,3.0,10.0,0.0,1.7450177400493414,0.0,6.0,8598,0.0,0.0,0.0003489183531053733,0.0006978367062107466,0.0011630611770179111,Philoctetes,τρέφω
Ἀχιλλεύς,17,17.0,37.0,5.0,4.251723514899907,9.0,25.0,8598,0.0005815305885089556,0.00104675505931612,0.001977204000930449,0.002907652942544778,0.004303326354966271,Philoctetes,ἀχιλλεύς
παῖς,46,46.0,69.0,28.0,6.684868624847353,33.0,59.0,8598,0.0032565712956501513,0.0038381018841591066,0.005350081414282391,0.006862060944405676,0.008025122121423587,Philoctetes,παῖς
Νεοπτόλεμε,1,1.0,4.0,0.0,0.9653497293209875,0.0,3.0,8598,0.0,0.0,0.00011630611770179111,0.0003489183531053733,0.00046522447080716444,Philoctetes,νεοπτόλεμε
μηλιεύς,1,1.0,5.0,0.0,1.0021335880369107,0.0,3.0,8598,0.0,0.0,0.00011630611770179111,0.0003489183531053733,0.0005815305885089556,Philoctetes,μηλιεύς
Ποίαντος,8,8.0,18.0,1.0,2.828300323035493,2.0,14.0,8598,0.00011630611770179111,0.00023261223540358222,0.0009304489416143289,0.0016282856478250756,0.00209351011863224,Philoctetes,ποίαντος
υἱός,3,3.0,11.0,0.0,1.7472764592287648,0.0,6.0,8598,0.0,0.0,0.0003489183531053733,0.0006978367062107466,0.0012793672947197022,Philoctetes,υἱός
ἐξέθηκ,1,1.0,5.0,0.0,0.9838516331053404,0.0,3.0,8598,0.0,0.0,0.00011630611770179111,0.0003489183531053733,0.0005815305885089556,Philoctetes,ἐξέθηκ
ἐγώ,243,244.0,297.0,199.0,15.773872731167216,213.0,275.0,8598,0.02314491742265643,0.024773203070481507,0.028262386601535242,0.03198418236799255,0.03454291695743196,Philoctetes,ἐγώ
