lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
λόγος,27,27.0,49.0,13.0,5.428899616768674,16.0,38.0,6506,0.0019981555487242546,0.002459268367660621,0.004150015370427298,0.005840762373193975,0.007531509375960652,Trachiniae,λόγος
μέν,59,59.0,85.0,38.0,7.757175789150083,44.0,74.0,6506,0.005840762373193975,0.006762988011066708,0.009068552105748539,0.011374116200430372,0.013064863203197049,Trachiniae,μέν
εἰμί,91,91.0,119.0,53.0,9.212905750501935,73.0,109.0,6506,0.008146326467875806,0.011220411927451584,0.013987088841069781,0.01675376575468798,0.018290808484475868,Trachiniae,εἰμί
ἀρχαῖος,2,2.0,6.0,0.0,1.4165589859371723,0.0,5.0,6506,0.0,0.0,0.0003074085459575776,0.000768521364893944,0.0009222256378727329,Trachiniae,ἀρχαῖος
ἄνθρωπος,6,6.0,16.0,0.0,2.4134426230398143,1.0,11.0,6506,0.0,0.0001537042729787888,0.0009222256378727329,0.001690747002766677,0.002459268367660621,Trachiniae,ἄνθρωπος
φαίνω,14,14.0,25.0,4.0,3.816016773545938,7.0,21.0,6506,0.0006148170919151552,0.0010759299108515216,0.002151859821703043,0.003227789732554565,0.00384260682446972,Trachiniae,φαίνω
ὡς,78,78.0,107.0,54.0,8.58044159830821,61.0,95.0,6506,0.008300030740854596,0.009375960651706117,0.011988933292345526,0.014601905932984938,0.016446357208730403,Trachiniae,ὡς
οὐ,94,95.0,132.0,61.0,10.115220132141381,75.0,115.0,6506,0.009375960651706117,0.01152782047340916,0.014448201660006148,0.01767599139256071,0.020288964033200123,Trachiniae,οὐ
ἄν,34,34.0,57.0,17.0,6.082835450091274,22.0,46.0,6506,0.00261297264063941,0.003381494005533354,0.00522594528127882,0.007070396557024286,0.008761143559790963,Trachiniae,ἄν
αἰάζω,1,1.0,5.0,0.0,0.9955405060071119,0.0,3.0,6506,0.0,0.0,0.0001537042729787888,0.00046111281893636643,0.000768521364893944,Trachiniae,αἰάζω
ἐκμανθάνω,5,5.0,13.0,0.0,2.284623053701095,1.0,9.0,6506,0.0,0.0001537042729787888,0.000768521364893944,0.0013833384568090992,0.0019981555487242546,Trachiniae,ἐκμανθάνω
βροτός,7,7.0,20.0,0.0,2.6588904267942826,2.0,12.0,6506,0.0,0.0003074085459575776,0.0010759299108515216,0.0018444512757454657,0.003074085459575776,Trachiniae,βροτός
πρίν,14,14.0,28.0,4.0,3.620731735671422,7.0,21.0,6506,0.0006148170919151552,0.0010759299108515216,0.002151859821703043,0.003227789732554565,0.004303719643406086,Trachiniae,πρίν
