Name,Speech,verse_number,inferred_verse_number,lemmata
Ἀθήνα,"ἀεὶ μέν, ὦ παῖ Λαρτίου, δέδορκά σε",1.0,1.0,ἀεί μέν ὦ παῖς λάρτιος δέρκομαι σύ
Ἀθήνα,πεῖράν τιν᾽ ἐχθρῶν ἁρπάσαι θηρώμενον:,,2.0,πείρω τιν ἐχθρός ἁρπάζω θηράω
Ἀθήνα,καὶ νῦν ἐπὶ σκηναῖς σε ναυτικαῖς ὁρῶ,,3.0,καί νῦν ἐπί σκηνή σύ ναυτικός ὁράω
Ἀθήνα,"Αἴαντος, ἔνθα τάξιν ἐσχάτην ἔχει,",,4.0,Αἴας ἔνθα τάξις ἔσχατος ἔχω
Ἀθήνα,πάλαι κυνηγετοῦντα καὶ μετρούμενον,5.0,5.0,πάλαι κυνηγετέω καί μετρέω
Ἀθήνα,"ἴχνη τὰ κείνου νεοχάραχθ᾽, ὅπως ἴδῃς",,6.0,ἴχνος ὁ ἐκεῖνος νεοχάραχθ ὅπως εἶδον
Ἀθήνα,εἴτ᾽ ἔνδον εἴτ᾽ οὐκ ἔνδον.  εὖ δέ σ᾽ ἐκφέρει,,7.0,εἴτ ἔνδον εἴτ οὐ ἔνδον  εὖ δέ σ ἐκφέρω
Ἀθήνα,κυνὸς Λακαίνης ὥς τις εὔρινος βάσις.,,8.0,κύων Λακαίνης ὡς τις εὔρινος βάσις
Ἀθήνα,"ἔνδον γὰρ ἁνὴρ ἄρτι τυγχάνει, κάρα",,9.0,ἔνδον γάρ ἀνήρ ἄρτι τυγχάνω κάρα
Ἀθήνα,στάζων ἱδρῶτι καὶ χέρας ξιφοκτόνους.,10.0,10.0,στάζω ἱδρώς καί χείρ ξιφοκτόνος
Ἀθήνα,καί σ᾽ οὐδὲν εἴσω τῆσδε παπταίνειν πύλης,,11.0,καί σ οὐδείς εἴσω ὅδε παπταίνω πύλη
Ἀθήνα,"ἔτ᾽ ἔργον ἐστίν, ἐννέπειν δ᾽ ὅτου χάριν",,12.0,ἔτ ἔργον εἰμί ἐνέπω δ ὅστις χάρις
Ἀθήνα,"σπουδὴν ἔθου τήνδ᾽, ὡς παρ᾽ εἰδυίας μάθῃς.",,13.0,σπουδή τίθημι τήνδ ὡς παρ οἶδα μανθάνω
Ὀδυσσεύς,"ὦ φθέγμ᾽ Ἀθάνας, φιλτάτης ἐμοὶ θεῶν,",,14.0,ὦ φθέγμ Ἀθήνη φίλτατος ἐγώ θεός
Ὀδυσσεύς,"ὡς εὐμαθές σου, κἂν ἄποπτος ᾖς ὅμως,",15.0,15.0,ὡς εὐμαθής σύ κἀν ἄποπτος εἰμί ὅμως
Ὀδυσσεύς,φώνημ᾽ ἀκούω καὶ ξυναρπάζω φρενὶ,,16.0,φώνημ ἀκούω καί συναρπάζω φρήν
Ὀδυσσεύς,χαλκοστόμου κώδωνος ὡς Τυρσηνικῆς.,,17.0,χαλκόστομος κώδων ὡς τυρσηνός
Ὀδυσσεύς,καὶ νῦν ἐπέγνως εὖ μ᾽ ἐπ᾽ ἀνδρὶ δυσμενεῖ,,18.0,καί νῦν ἐπιγιγνώσκω εὖ μ ἐπί ἀνήρ δυσμενής
Ὀδυσσεύς,"βάσιν κυκλοῦντ᾽, Αἴαντι τῷ σακεσφόρῳ:",,19.0,βάσις κυκλοῦντ Αἴας ὁ σακεσφόρος
Ὀδυσσεύς,"κεῖνον γάρ, οὐδέν᾽ ἄλλον, ἰχνεύω πάλαι.",20.0,20.0,ἐκεῖνος γάρ οὐδείς ἄλλος ἰχνεύω πάλαι
Ὀδυσσεύς,νυκτὸς γὰρ ἡμᾶς τῆσδε πρᾶγος ἄσκοπον,,21.0,νύξ γάρ ἐγώ ὅδε πρᾶγος ἄσκοπος
Ὀδυσσεύς,"ἔχει περάνας, εἴπερ εἴργασται τάδε:",,22.0,ἔχω περαίνω εἴπερ ἐργάζομαι ὅδε
Ὀδυσσεύς,"ἴσμεν γὰρ οὐδὲν τρανές, ἀλλ᾽ ἀλώμεθα:",,23.0,οἶδα γάρ οὐδείς τρανής ἀλλ ἀλάομαι
Ὀδυσσεύς,κἀγὼ 'θελοντὴς τῷδ᾽ ὑπεζύγην πόνῳ.,,24.0,ἐγώ θελοντὴς τῷδ ὑποζεύγνυμι πόνος
Ὀδυσσεύς,ἐφθαρμένας γὰρ ἀρτίως εὑρίσκομεν,25.0,25.0,φθείρω γάρ ἄρτιος εὑρίσκω
Ὀδυσσεύς,λείας ἁπάσας καὶ κατηναρισμένας,,26.0,λεία ἅπας καί κατεναρίζω
Ὀδυσσεύς,ἐκ χειρὸς αὐτοῖς ποιμνίων ἐπιστάταις.,,27.0,ἐκ χείρ αὐτός ποίμνιον ἐπιστάτης
Ὀδυσσεύς,τήνδ᾽ οὖν ἐκείνῳ πᾶς τις αἰτίαν νέμει.,,28.0,τήνδ οὖν ἐκεῖνος πᾶς τις αἰτία νέμω
