Name,Speech,verse_number,inferred_verse_number,lemmata
Ἀντιγόνη,"ὦ κοινὸν αὐτάδελφον Ἰσμήνης κάρα,",1.0,1.0,ὦ κοινός αὐτάδελφος Ἰσμήνη κάρα
Ἀντιγόνη,ἆρ᾽ οἶσθ᾽ ὅ τι Ζεὺς τῶν ἀπ᾽ Οἰδίπου κακῶν,,2.0,ἆρ οἶσθ ὁ τις Ζεύς ὁ ἀπό Οἰδίπους κακός
Ἀντιγόνη,ὁποῖον οὐχὶ νῷν ἔτι ζώσαιν τελεῖ;,,3.0,ὁποῖος οὐ ἐγώ ἔτι ζάω τελέω
Ἀντιγόνη,οὐδὲν γὰρ οὔτ᾽ ἀλγεινὸν οὔτ᾽ ἄτης ἄτερ,,4.0,οὐδείς γάρ οὔτ ἀλγεινός οὔτ ἄτη ἄτερ
Ἀντιγόνη,"οὔτ᾽ αἰσχρὸν οὔτ᾽ ἄτιμόν ἐσθ᾽, ὁποῖον οὐ",5.0,5.0,οὔτ αἰσχρός οὔτ ἄτιμος εἰμί ὁποῖος οὐ
Ἀντιγόνη,τῶν σῶν τε κἀμῶν οὐκ ὄπωπ᾽ ἐγὼ κακῶν.,,6.0,ὁ σός τε ἐμός οὐ ὄπωπ ἐγώ κακός
Ἀντιγόνη,καὶ νῦν τί τοῦτ᾽ αὖ φασι πανδήμῳ πόλει,,7.0,καί νῦν τίς τοῦτ αὖ φημί πάνδημος πόλις
Ἀντιγόνη,κήρυγμα θεῖναι τὸν στρατηγὸν ἀρτίως;,,8.0,κήρυγμα τίθημι ὁ στρατηγός ἄρτιος
Ἀντιγόνη,ἔχεις τι κεἰσήκουσας; ἤ σε λανθάνει,,9.0,ἔχω τις εἰσακούω ἤ σύ λανθάνω
Ἀντιγόνη,πρὸς τοὺς φίλους στείχοντα τῶν ἐχθρῶν κακά;,10.0,10.0,πρός ὁ φίλος στείχω ὁ ἐχθρός κακός
