Name,Speech,verse_number,inferred_verse_number,lemmata
Παιδαγωγός,ὦ τοῦ στρατηγήσαντος ἐν Τροίᾳ ποτὲ,1.0,1.0,ὦ ὁ στρατηγέω ἐν Τροία ποτέ
Παιδαγωγός,"Ἀγαμέμνονος παῖ, νῦν ἐκεῖν᾽ ἔξεστί σοι",,2.0,Ἀγαμέμνων παῖς νῦν ἐκεῖν ἔξεστι σύ
Παιδαγωγός,"παρόντι λεύσσειν, ὧν πρόθυμος ἦσθ᾽ ἀεί.",,3.0,πάρειμι λεύσσω ὅς πρόθυμος εἰμί ἀεί
Παιδαγωγός,"τὸ γὰρ παλαιὸν Ἄργος οὑπόθεις τόδε,",,4.0,ὁ γάρ παλαιός Ἄργος ποθέω ὅδε
Παιδαγωγός,τῆς οἰστροπλῆγος ἄλσος Ἰνάχου κόρης:,5.0,5.0,ὁ οἰστροπλήξ ἄλσος Ἴναχος κόρη
Παιδαγωγός,"αὕτη δ᾽, Ὀρέστα, τοῦ λυκοκτόνου θεοῦ",,6.0,οὗτος δ Ὀρέστης ὁ λυκοκτόνος θεός
Παιδαγωγός,ἀγορὰ Λύκειος: οὑξ ἀριστερᾶς δ᾽ ὅδε,,7.0,ἀγορά λύκειος ἐκ ἀριστερός δ ὅδε
Παιδαγωγός,"Ἥρας ὁ κλεινὸς ναός: οἷ δ᾽ ἱκάνομεν,",,8.0,Ἥρα ὁ κλεινός ναός ἕ δ ἱκάνω
Παιδαγωγός,φάσκειν Μυκήνας τὰς πολυχρύσους ὁρᾶν,,9.0,φάσκω Μυκήνη ὁ πολύχρυσος ὁράω
Παιδαγωγός,"πολύφθορόν τε δῶμα Πελοπιδῶν τόδε,",10.0,10.0,πολύφθορος τε δῶμα Πελοπίδης ὅδε
Παιδαγωγός,ὅθεν σε πατρὸς ἐκ φονῶν ἐγώ ποτε,,11.0,ὅθεν σύ πατήρ ἐκ φονή ἐγώ ποτέ
Παιδαγωγός,πρὸς σῆς ὁμαίμου καὶ κασιγνήτης λαβὼν,,12.0,πρός σός ὅμαιμος καί κασιγνήτη λαμβάνω
Παιδαγωγός,ἤνεγκα κἀξέσωσα κἀξεθρεψάμην,,13.0,φέρω ἐκσῴζω ἐκτρέφω
Παιδαγωγός,"τοσόνδ᾽ ἐς ἥβης, πατρὶ τιμωρὸν φόνου.",,14.0,τοσόνδ εἰς ἥβη πατήρ τιμωρός φόνος
Παιδαγωγός,"νῦν οὖν, Ὀρέστα καὶ σὺ φίλτατε ξένων",15.0,15.0,νῦν οὖν Ὀρέστης καί σύ φίλτατος ξένος
Παιδαγωγός,"Πυλάδη, τί χρὴ δρᾶν ἐν τάχει βουλευτέον:",,16.0,Πυλάδης τίς χρή δράω ἐν τάχος βουλευτέος
Παιδαγωγός,ὡς ἡμὶν ἤδη λαμπρὸν ἡλίου σέλας,,17.0,ὡς ἐγώ ἤδη λαμπρός ἥλιος σέλας
Παιδαγωγός,ἑῷα κινεῖ φθέγματ᾽ ὀρνίθων σαφῆ,,18.0,ἑῶιος κινέω φθέγματ ὄρνις σαφής
