Name,Speech,verse_number,inferred_verse_number,lemmata
Οἰδίπους,"τέκνον τυφλοῦ γέροντος Ἀντιγόνη, τίνας",1.0,1.0,τέκνον τυφλόω γέρων Ἀντιγόνη τίς
Οἰδίπους,χώρους ἀφίγμεθ᾽ ἢ τίνων ἀνδρῶν πόλιν;,,2.0,χῶρος ἀφίγμεθ ἤ τίς ἀνήρ πόλις
Οἰδίπους,τίς τὸν πλανήτην Οἰδίπουν καθ᾽ ἡμέραν,,3.0,τις ὁ πλανάω Οἰδίπους κατά ἡμέρα
Οἰδίπους,τὴν νῦν σπανιστοῖς δέξεται δωρήμασιν;,,4.0,ὁ νῦν σπανιστός δέχομαι δώρημα
Οἰδίπους,"σμικρὸν μὲν ἐξαιτοῦντα, τοῦ σμικροῦ δ᾽ ἔτι",5.0,5.0,σμικρός μέν ἐξαιτέω ὁ μικρός δ ἔτι
Οἰδίπους,"μεῖον φέροντα, καὶ τόδ᾽ ἐξαρκοῦν ἐμοί:",,6.0,μείων φέρω καί τόδ ἐξαρκέω ἐγώ
Οἰδίπους,στέργειν γὰρ αἱ πάθαι με χὠ χρόνος ξυνὼν,,7.0,στέργω γάρ ὁ πάθη ἐγώ ὁ χρόνος σύνειμι
Οἰδίπους,μακρὸς διδάσκει καὶ τὸ γενναῖον τρίτον.,,8.0,μακρός διδάσκω καί ὁ γενναῖος τρίτος
Οἰδίπους,"ἀλλ᾽, ὦ τέκνον, θάκησιν εἴ τινα βλέπεις",,9.0,ἀλλ ὦ τέκνον θάκησις εἰ τις βλέπω
Οἰδίπους,"ἢ πρὸς βεβήλοις ἢ πρὸς ἄλσεσιν θεῶν,",10.0,10.0,ἤ πρός βέβηλος ἤ πρός ἄλσος θεός
Οἰδίπους,"στῆσόν με κἀξίδρυσον, ὡς πυθώμεθα",,11.0,στῆσόν ἐγώ ἐξιδρύω ὡς πυνθάνομαι
Οἰδίπους,ὅπου ποτ᾽ ἐσμέν:  μανθάνειν γὰρ ἥκομεν,,12.0,ὅπου ποτ εἰμί  μανθάνω γάρ ἥκω
Οἰδίπους,"ξένοι πρὸς ἀστῶν, ἃν δ᾽ ἀκούσωμεν τελεῖν.",,13.0,ξένος πρός ἀστός ὅς δ ἀκούω τελέω
Ἀντιγόνη,"πάτερ ταλαίπωρ᾽ Οἰδίπους, πύργοι μέν, οἳ",,14.0,πάτηρ ταλαίπωρ Οἰδίπους πύργος μέν ὁ
Ἀντιγόνη,"πόλιν στέγουσιν, ὡς ἀπ᾽ ὀμμάτων, πρόσω:",15.0,15.0,πόλις στέγω ὡς ἀπό ὄμμα πρόσω
Ἀντιγόνη,"χῶρος δ᾽ ὅδ᾽ ἱερός, ὡς ἀπεικάσαι, βρύων",,16.0,χῶρος δ ὅδ ἱερός ὡς ἀπεικάζω βρύω
Ἀντιγόνη,"δάφνης, ἐλαίας, ἀμπέλου:  πυκνόπτεροι δ᾽",,17.0,δάφνη ἐλαία ἄμπελος  πυκνόπτερος δ
Ἀντιγόνη,εἴσω κατ᾽ αὐτὸν εὐστομοῦσ᾽ ἀηδόνες:,,18.0,εἴσω κατά αὐτός εὐστομοῦσ ἀηδών
Ἀντιγόνη,οὗ κῶλα κάμψον τοῦδ᾽ ἐπ᾽ ἀξέστου πέτρου:,,19.0,ἵημι κῶλον κάμπτω τοῦδ ἐπί ἄξεστος πέτρος
Ἀντιγόνη,μακρὰν γὰρ ὡς γέροντι προὐστάλης ὁδόν.,20.0,20.0,μακράν γάρ ὡς γέρων προστέλλω ὁδός
Οἰδίπους,κάθιζέ νύν με καὶ φύλασσε τὸν τυφλόν.,,21.0,κάθιζέ νῦν ἐγώ καί φυλάσσω ὁ τυφλός
Ἀντιγόνη,χρόνου μὲν οὕνεκ᾽ οὐ μαθεῖν με δεῖ τόδε.,,22.0,χρόνος μέν οὕνεκα οὐ μανθάνω ἐγώ δεῖ ὅδε
Οἰδίπους,ἔχεις διδάξαι δή μ᾽ ὅποι καθέσταμεν;,,23.0,ἔχω διδάσκω δή μ ὅποι καθίστημι
Ἀντιγόνη,"τὰς γοῦν Ἀθήνας οἶδα, τὸν δὲ χῶρον οὔ.",,24.0,ὁ γοῦν Ἀθῆναι οἶδα ὁ δέ χῶρος οὐ
Οἰδίπους,πᾶς γάρ τις ηὔδα τοῦτό γ᾽ ἡμὶν ἐμπόρων.,25.0,25.0,πᾶς γάρ τις αὐδάω οὗτος γε ἐγώ ἔμπορος
Ἀντιγόνη,ἀλλ᾽ ὅστις ὁ τόπος ἦ μάθω μολοῦσά ποι;,,26.0,ἀλλ ὅστις ὁ τόπος εἰμί μανθάνω μολοῦσά ποι
Οἰδίπους,"ναί, τέκνον, εἴπερ ἐστί γ᾽ ἐξοικήσιμος.",,27.0,ναί τέκνον εἴπερ εἰμί γε ἐξοικήσιμος
Ἀντιγόνη,ἀλλ᾽ ἐστὶ μὴν οἰκητός: οἴομαι δὲ δεῖν,,28.0,ἀλλ εἰμί μήν οἰκητός οἴομαι δέ δεῖ
Ἀντιγόνη,οὐδέν:  πέλας γὰρ ἄνδρα τόνδε νῷν ὁρῶ.,,29.0,οὐδείς  πέλας γάρ ἀνήρ ὅδε ἐγώ ὁράω
Οἰδίπους,ἦ δεῦρο προσστείχοντα κἀξορμώμενον;,30.0,30.0,εἰμί δεῦρο προσστείχω ἐξορμάω
Ἀντιγόνη,καὶ δὴ μὲν οὖν παρόντα:  χὤ τί σοι λέγειν,,31.0,καί δή μέν οὖν πάρειμι  ὅς τίς σύ λέγω
Ἀντιγόνη,"εὔκαιρόν ἐστιν, ἔννεφ᾽, ὡς ἀνὴρ ὅδε.",,32.0,εὔκαιρόν εἰμί ἔννεφ ὡς ἀνήρ ὅδε
Οἰδίπους,"ὦ ξεῖν᾽, ἀκούων τῆσδε τῆς ὑπέρ τ᾽ ἐμοῦ",,33.0,ὦ ξεῖν ἀκούω ὅδε ὁ ὑπέρ τ ἐγώ
Οἰδίπους,"αὑτῆς θ᾽ ὁρώσης, οὕνεχ᾽ ἡμὶν αἴσιος",,34.0,ἑαυτοῦ θ ὁράω οὕνεκα ἐγώ αἴσιος
Οἰδίπους,σκοπὸς προσήκεις ὧν ἀδηλοῦμεν φράσαι—,35.0,35.0,σκοπός προσήκω ὅς ἀδηλόω φράζω
Ξένος,"πρὶν νῦν τὰ πλείον᾽ ἱστορεῖν, ἐκ τῆσδ᾽ ἕδρας",,36.0,πρίν νῦν ὁ πλείον ἱστορέω ἐκ τῆσδ ἕδρα
Ξένος,ἔξελθ᾽:  ἔχεις γὰρ χῶρον οὐχ ἁγνὸν πατεῖν.,,37.0,ἔξελθ  ἔχω γάρ χῶρος οὐ ἁγνός πατέω
Οἰδίπους,τίς δ᾽ ἔσθ᾽ ὁ χῶρος; τοῦ θεῶν νομίζεται;,,38.0,τις δ εἰμί ὁ χῶρος ὁ θεός νομίζω
Ξένος,ἄθικτος οὐδ᾽ οἰκητός:  αἱ γὰρ ἔμφοβοι,,39.0,ἄθικτος οὐδ οἰκητός  ὁ γάρ ἔμφοβος
Ξένος,"θεαί σφ᾽ ἔχουσι, Γῆς τε καὶ Σκότου κόραι.",40.0,40.0,θεά σφ ἔχω Γαῖα τε καί Σκότου κόρη
Οἰδίπους,τίνων τὸ σεμνὸν ὄνομ᾽ ἂν εὐξαίμην κλύων;,,41.0,τίς ὁ σεμνός ὄνομ ἄν εὔχομαι κλύω
Ξένος,τὰς πάνθ᾽ ὁρώσας Εὐμενίδας ὅ γ᾽ ἐνθάδ᾽ ἂν,,42.0,ὁ πάνθ ὁράω Εὐμενίδας ὁ γε ἐνθάδ ἄν
Ξένος,εἴποι λεώς νιν:  ἄλλα δ᾽ ἀλλαχοῦ καλά.,,43.0,εἶπον λαός νιν  ἄλλος δ ἀλλαχοῦ καλός
Οἰδίπους,ἀλλ᾽ ἵλεῳ μὲν τὸν ἱκέτην δεξαίατο:,,44.0,ἀλλ ἴλαος μέν ὁ ἱκέτης δέχομαι
Οἰδίπους,ὡς οὐχ ἕδρας γῆς τῆσδ᾽ ἂν ἐξέλθοιμ᾽ ἔτι.,45.0,45.0,ὡς οὐ ἕδρα γῆ τῆσδ ἄν ἐξέλθοιμ ἔτι
Ξένος,τί δ᾽ ἐστὶ τοῦτο;,,46.0,τίς δ εἰμί οὗτος
Οἰδίπους,ξυμφορᾶς ξύνθημ᾽ ἐμῆς.,,47.0,συμφορά ξύνθημ ἐμός
Ξένος,ἀλλ᾽ οὐδ᾽ ἐμοί τοι τοὐξανιστάναι πόλεως,,48.0,ἀλλ οὐδ ἐγώ σύ ἐξανίστημι πόλις
Ξένος,"δίχ᾽ ἐστὶ θάρσος, πρίν γ᾽ ἂν ἐνδείξω τί δρῶ.",,49.0,δίχ εἰμί θάρσος πρίν γε ἄν ἐνδείκνυμι τίς δράω
Οἰδίπους,"πρός νυν θεῶν, ὦ ξεῖνε, μή μ᾽ ἀτιμάσῃς,",,50.0,πρός νῦν θεός ὦ ξένος μή μ ἀτιμάω
Οἰδίπους,"τοιόνδ᾽ ἀλήτην, ὧν σε προστρέπω φράσαι.",50.0,50.5,τοιόνδ ἀλήτης ὅς σύ προστρέπω φράζω
Ξένος,"σήμαινε, κοὐκ᾽ ἄτιμος ἔκ γ᾽ ἐμοῦ φανεῖ.",,51.0,σημαίνω οὐ ἄτιμος ἐκ γε ἐγώ φαίνω
Οἰδίπους,"τίς ἔσθ᾽ ὁ χῶρος δῆτ᾽, ἐν ᾧ βεβήκαμεν;",,52.0,τις εἰμί ὁ χῶρος δῆτ ἐν ὅς βαίνω
Ξένος,ὅσ᾽ οἶδα κἀγὼ πάντ᾽ ἐπιστήσει κλύων:,,53.0,ὅσ οἶδα ἐγώ πάντ ἐφίστημι κλύω
Ξένος,χῶρος μὲν ἱερὸς πᾶς ὅδ᾽ ἔστ᾽: ἔχει δέ νιν,,54.0,χῶρος μέν ἱερός πᾶς ὅδ εἰμί ἔχω δέ νιν
Ξένος,σεμνὸς Ποσειδῶν: ἐν δ᾽ ὁ πυρφόρος θεὸς,55.0,55.0,σεμνός Ποσειδῶν ἐν δ ὁ πυρφόρος θεός
Ξένος,"Τιτὰν Προμηθεύς: ὃν δ᾽ ἐπιστείβεις τόπον,",,56.0,Τιτὰν Προμηθεύς ὅς δ ἐπιστείβω τόπος
Ξένος,"χθονὸς καλεῖται τῆσδε χαλκόπους ὀδός,",,57.0,χθών καλέω ὅδε χαλκόπους οὐδός
Ξένος,ἔρεισμ᾽ Ἀθηνῶν:  οἱ δὲ πλησίοι γύαι,,58.0,ἔρεισμ Ἀθῆναι  ὁ δέ πλησίος γύης
Ξένος,τόνδ᾽ ἱππότην Κολωνὸν εὔχονται σφίσιν,,59.0,τόνδ ἱππότης Κολωνὸν εὔχομαι σφεῖς
Ξένος,ἀρχηγὸν εἶναι καὶ φέρουσι τοὔνομα,60.0,60.0,ἀρχηγός εἰμί καί φέρω ὄνομα
Ξένος,τὸ τοῦδε κοινὸν πάντες ὠνομασμένοι.,,61.0,ὁ ὅδε κοινός πᾶς ὀνομάζω
Ξένος,"τοιαῦτά σοι ταῦτ᾽ ἐστίν, ὦ ξέν᾽, οὐ λόγοις",,62.0,τοιοῦτος σύ ταῦτ εἰμί ὦ ξέν οὐ λόγος
Ξένος,"τιμώμεν᾽, ἀλλὰ τῇ ξυνουσίᾳ πλέον.",,63.0,τιμώμεν ἀλλά ὁ συνουσία πλείων
Οἰδίπους,ἦ γάρ τινες ναίουσι τούσδε τοὺς τόπους;,,64.0,εἰμί γάρ τις ναίω ὅδε ὁ τόπος
