Name,Speech,verse_number,inferred_verse_number,lemmata
Οἰδίπους,"ὦ τέκνα, Κάδμου τοῦ πάλαι νέα τροφή,",1.0,1.0,ὦ τέκνον Κάδμος ὁ πάλαι νέος τροφή
Οἰδίπους,τίνας ποθ᾽ ἕδρας τάσδε μοι θοάζετε,,2.0,τίς ποθ ἕδρα ὅδε ἐγώ θοάζω
Οἰδίπους,ἱκτηρίοις κλάδοισιν ἐξεστεμμένοι;,,3.0,ἱκετήριος κλάδος ἐκστέφω
Οἰδίπους,"πόλις δ᾽ ὁμοῦ μὲν θυμιαμάτων γέμει,",,4.0,πόλις δ ὁμοῦ μέν θυμίαμα γέμω
Οἰδίπους,ὁμοῦ δὲ παιάνων τε καὶ στεναγμάτων:,5.0,5.0,ὁμοῦ δέ Παιάν τε καί στέναγμα
Οἰδίπους,"ἁγὼ δικαιῶν μὴ παρ᾽ ἀγγέλων, τέκνα,",,6.0,ἐγώ δικαιόω μή παρ ἄγγελος τέκνον
Οἰδίπους,"ἄλλων ἀκούειν αὐτὸς ὧδ᾽ ἐλήλυθα,",,7.0,ἄλλος ἀκούω αὐτός ὧδ ἔρχομαι
Οἰδίπους,ὁ πᾶσι κλεινὸς Οἰδίπους καλούμενος.,,8.0,ὁ πᾶς κλεινός Οἰδίπους καλέω
Οἰδίπους,"ἀλλ᾽ ὦ γεραιέ, φράζ᾽, ἐπεὶ πρέπων ἔφυς",,9.0,ἀλλ ὦ γεραιός φράζ ἐπεί πρέπω φύω
Οἰδίπους,"πρὸ τῶνδε φωνεῖν, τίνι τρόπῳ καθέστατε,",10.0,10.0,πρό ὅδε φωνέω τίς τρόπος καθίστημι
Οἰδίπους,δείσαντες ἢ στέρξαντες; ὡς θέλοντος ἂν,,11.0,δείδω ἤ στέργω ὡς ἐθέλω ἄν
Οἰδίπους,ἐμοῦ προσαρκεῖν πᾶν:  δυσάλγητος γὰρ ἂν,,12.0,ἐγώ προσαρκέω πᾶς  δυσάλγητος γάρ ἄν
Οἰδίπους,εἴην τοιάνδε μὴ οὐ κατοικτίρων ἕδραν.,,13.0,εἰμί τοιόσδε μή οὐ κατοικτείρω ἕδρα
Ἱερεύς,"ἀλλ᾽ ὦ κρατύνων Οἰδίπους χώρας ἐμῆς,",,14.0,ἀλλ ὦ κρατύνω Οἰδίπους χώρα ἐμός
Ἱερεύς,ὁρᾷς μὲν ἡμᾶς ἡλίκοι προσήμεθα,15.0,15.0,ὁράω μέν ἐγώ ἡλίκος πρόσημαι
Ἱερεύς,βωμοῖσι τοῖς σοῖς:  οἱ μὲν οὐδέπω μακρὰν,,16.0,βωμός ὁ σός  ὁ μέν οὐδέπω μακράν
Ἱερεύς,"πτέσθαι σθένοντες, οἱ δὲ σὺν γήρᾳ βαρεῖς,",,17.0,πέτομαι σθένω ὁ δέ σύν γῆρας βαρύς
