Name,Speech,verse_number,inferred_verse_number,lemmata
Ὀδυσσεύς,ἀκτὴ μὲν ἥδε τῆς περιρρύτου χθονὸς,1.0,1.0,ἀκτή μέν ὅδε ὁ περίρρυτος χθών
Ὀδυσσεύς,"Λήμνου, βροτοῖς ἄστιπτος οὐδ᾽ οἰκουμένη,",,2.0,Λῆμνος βροτός ἄστιπτος οὐδ οἰκουμένη
Ὀδυσσεύς,"ἔνθ᾽, ὦ κρατίστου πατρὸς Ἑλλήνων τραφεὶς",,3.0,εἰμί ὦ κράτιστος πατήρ Ἕλλην τρέφω
Ὀδυσσεύς,"Ἀχιλλέως παῖ Νεοπτόλεμε, τὸν Μηλιᾶ",,4.0,Ἀχιλλεύς παῖς Νεοπτόλεμε ὁ μηλιεύς
Ὀδυσσεύς,"Ποίαντος υἱὸν ἐξέθηκ᾽ ἐγώ ποτε,",5.0,5.0,Ποίαντος υἱός ἐξέθηκ ἐγώ ποτέ
Ὀδυσσεύς,"ταχθεὶς τόδ᾽ ἔρδειν τῶν ἀνασσόντων ὕπο,",,6.0,τάσσω τόδ ἔρδω ὁ ἀνάζω ὑπό
Ὀδυσσεύς,νόσῳ καταστάζοντα διαβόρῳ πόδα:,,7.0,νόσος καταστάζω διαβόρος πούς
Ὀδυσσεύς,ὅτ᾽ οὔτε λοιβῆς ἡμὶν οὔτε θυμάτων,,8.0,ὅτ οὔτε λοιβή ἐγώ οὔτε θῦμα
Ὀδυσσεύς,"παρῆν ἑκήλοις προσθιγεῖν, ἀλλ᾽ ἀγρίαις",,9.0,πάρειμι ἕκηλος προσθιγγάνω ἀλλ ἄγριος
Ὀδυσσεύς,"κατεῖχ᾽ ἀεὶ πᾶν στρατόπεδον δυσφημίαις,",10.0,10.0,κατεῖχ ἀεί πᾶς στρατόπεδον δυσφημία
Ὀδυσσεύς,"βοῶν, στενάζων.  ἀλλὰ ταῦτα μὲν τί δεῖ",,11.0,βοῦς στενάζω  ἀλλά οὗτος μέν τίς δεῖ
Ὀδυσσεύς,"λέγειν; ἀκμὴ γὰρ οὐ μακρῶν ἡμῖν λόγων,",,12.0,λέγω ἀκμή γάρ οὐ μακρός ἐγώ λόγος
Ὀδυσσεύς,μὴ καὶ μάθῃ μ᾽ ἥκοντα κἀκχέω τὸ πᾶν,,13.0,μή καί μανθάνω μ ἥκω ἐκχέω ὁ πᾶς
Ὀδυσσεύς,"σόφισμα, τῷ νιν αὐτίχ᾽ αἱρήσειν δοκῶ.",,14.0,σόφισμα ὁ νιν αὐτίχ αἱρέω δοκέω
Ὀδυσσεύς,ἀλλ᾽ ἔργον ἤδη σὸν τὰ λοίφ᾽ ὑπηρετεῖν,15.0,15.0,ἀλλ ἔργον ἤδη σός ὁ λοίφ ὑπηρετέω
