speaker,text,wordCount,wordNumber,start,end,lemmata
Οἰδίπους,τέκνον τυφλοῦ γέροντος Ἀντιγόνη τίνας χώρους ἀφίγμεθ᾽ ἢ τίνων ἀνδρῶν πόλιν τίς τὸν πλανήτην Οἰδίπουν καθ᾽ ἡμέραν τὴν νῦν σπανιστοῖς δέξεται δωρήμασιν σμικρὸν μὲν ἐξαιτοῦντα τοῦ σμικροῦ δ᾽ ἔτι μεῖον φέροντα καὶ τόδ᾽ ἐξαρκοῦν ἐμοί στέργειν γὰρ αἱ πάθαι με χὠ χρόνος ξυνὼν μακρὸς διδάσκει καὶ τὸ γενναῖον τρίτον ἀλλ᾽ ὦ τέκνον θάκησιν εἴ τινα βλέπεις ἢ πρὸς βεβήλοις ἢ πρὸς ἄλσεσιν θεῶν στῆσόν με κἀξίδρυσον ὡς πυθώμεθα ὅπου ποτ᾽ ἐσμέν μανθάνειν γὰρ ἥκομεν ξένοι πρὸς ἀστῶν ἃν δ᾽ ἀκούσωμεν τελεῖν,81,81,0,81,τέκνον τυφλόω γέρων Ἀντιγόνη τίς χῶρος ἀφίγμεθ ̓ ἤ τίς ἀνήρ πόλις τις ὁ πλανάω Οἰδίπους καθ ̓ ἡμέρα ὁ νῦν σπανιστός δέχομαι δώρημα σμικρός μέν ἐξαιτέω ὁ μικρός δ ̓ ἔτι μείων φέρω καί τόδ ̓ ἐξαρκέω ἐγώ στέργω γάρ ὁ πάθη ἐγώ ὁ χρόνος σύνειμι μακρός διδάσκω καί ὁ γενναῖος τρίτος ἀλλ ̓ ὦ τέκνον θάκησις εἰ τις βλέπω ἤ πρός βέβηλος ἤ πρός ἄλσος θεός στῆσόν ἐγώ ἐξιδρύω ὡς πυνθάνομαι ὅπου ποτ ̓ εἰμί μανθάνω γάρ ἥκω ξένος πρός ἀστός ὅς δ ̓ ἀκούω τελέω
Ἀντιγόνη,πάτερ ταλαίπωρ᾽ Οἰδίπους πύργοι μέν οἳ πόλιν στέγουσιν ὡς ἀπ᾽ ὀμμάτων πρόσω χῶρος δ᾽ ὅδ᾽ ἱερός ὡς ἀπεικάσαι βρύων δάφνης ἐλαίας ἀμπέλου πυκνόπτεροι δ᾽ εἴσω κατ᾽ αὐτὸν εὐστομοῦσ᾽ ἀηδόνες οὗ κῶλα κάμψον τοῦδ᾽ ἐπ᾽ ἀξέστου πέτρου μακρὰν γὰρ ὡς γέροντι προὐστάλης ὁδόν,42,123,81,123,πάτηρ ταλαίπωρ ̓ Οἰδίπους πύργος μέν ὁ πόλις στέγω ὡς ἀπ ̓ ὄμμα πρόσω χῶρος δ ̓ ὅδ ̓ ἱερός ὡς ἀπεικάζω βρύω δάφνη ἐλαία ἄμπελος πυκνόπτερος δ ̓ εἴσω κατ ̓ αὐτός εὐστομοῦσ ̓ ἀηδών ἵημι κῶλον κάμπτω τοῦδ ̓ ἐπ ̓ ἄξεστος πέτρος μακράν γάρ ὡς γέρων προστέλλω ὁδός
Οἰδίπους,κάθιζέ νύν με καὶ φύλασσε τὸν τυφλόν,7,130,123,130,κάθιζέ νῦν ἐγώ καί φυλάσσω ὁ τυφλός
Ἀντιγόνη,χρόνου μὲν οὕνεκ᾽ οὐ μαθεῖν με δεῖ τόδε,8,138,130,138,χρόνος μέν οὕνεκ ̓ οὐ μανθάνω ἐγώ δεῖ ὅδε
Οἰδίπους,ἔχεις διδάξαι δή μ᾽ ὅποι καθέσταμεν,6,144,138,144,ἔχω διδάσκω δή μ ̓ ὅποι καθίστημι
Ἀντιγόνη,τὰς γοῦν Ἀθήνας οἶδα τὸν δὲ χῶρον οὔ,8,152,144,152,ὁ γοῦν Ἀθῆναι οἶδα ὁ δέ χῶρος οὐ
Οἰδίπους,πᾶς γάρ τις ηὔδα τοῦτό γ᾽ ἡμὶν ἐμπόρων,8,160,152,160,πᾶς γάρ τις αὐδάω οὗτος γ ̓ ἐγώ ἔμπορος
Ἀντιγόνη,ἀλλ᾽ ὅστις ὁ τόπος ἦ μάθω μολοῦσά ποι,8,168,160,168,ἀλλ ̓ ὅστις ὁ τόπος εἰμί μανθάνω μολοῦσά ποι
Οἰδίπους,ναί τέκνον εἴπερ ἐστί γ᾽ ἐξοικήσιμος,6,174,168,174,ναί τέκνον εἴπερ εἰμί γ ̓ ἐξοικήσιμος
Ἀντιγόνη,ἀλλ᾽ ἐστὶ μὴν οἰκητός οἴομαι δὲ δεῖν οὐδέν πέλας γὰρ ἄνδρα τόνδε νῷν ὁρῶ,14,188,174,188,ἀλλ ̓ εἰμί μήν οἰκητός οἴομαι δέ δεῖ οὐδείς πέλας γάρ ἀνήρ ὅδε ἐγώ ὁράω
Οἰδίπους,ἦ δεῦρο προσστείχοντα κἀξορμώμενον,4,192,188,192,εἰμί δεῦρο προσστείχω ἐξορμάω
Ἀντιγόνη,καὶ δὴ μὲν οὖν παρόντα χὤ τί σοι λέγειν εὔκαιρόν ἐστιν ἔννεφ᾽ ὡς ἀνὴρ ὅδε,15,207,192,207,καί δή μέν οὖν πάρειμι ὅς τίς σύ λέγω εὔκαιρόν εἰμί ἔννεφ ̓ ὡς ἀνήρ ὅδε
Οἰδίπους,ὦ ξεῖν᾽ ἀκούων τῆσδε τῆς ὑπέρ τ᾽ ἐμοῦ αὑτῆς θ᾽ ὁρώσης οὕνεχ᾽ ἡμὶν αἴσιος σκοπὸς προσήκεις ὧν ἀδηλοῦμεν φράσαι,19,226,207,226,ὦ ξεῖν ̓ ἀκούω ὅδε ὁ ὑπέρ τ ̓ ἐγώ ἑαυτοῦ θ ̓ ὁράω οὕνεχ ̓ ἐγώ αἴσιος σκοπός προσήκω ὅς ἀδηλόω φράζω
Ξένος,πρὶν νῦν τὰ πλείον᾽ ἱστορεῖν ἐκ τῆσδ᾽ ἕδρας ἔξελθ᾽ ἔχεις γὰρ χῶρον οὐχ ἁγνὸν πατεῖν,15,241,226,241,πρίν νῦν ὁ πλείον ̓ ἱστορέω ἐκ τῆσδ ̓ ἕδρα ἔξελθ ̓ ἔχω γάρ χῶρος οὐ ἁγνός πατέω
Οἰδίπους,τίς δ᾽ ἔσθ᾽ ὁ χῶρος τοῦ θεῶν νομίζεται,8,249,241,249,τις δ ̓ ἔσθ ̓ ὁ χῶρος ὁ θεός νομίζω
Ξένος,ἄθικτος οὐδ᾽ οἰκητός αἱ γὰρ ἔμφοβοι θεαί σφ᾽ ἔχουσι Γῆς τε καὶ Σκότου κόραι,14,263,249,263,ἄθικτος οὐδ ̓ οἰκητός ὁ γάρ ἔμφοβος θεά σφ ̓ ἔχω Γαῖα τε καί Σκότου κόρη
