Name,Speech,Lemmas,verse_number,inferred_verse_number
Ἀθήνα,"ἀεὶ μέν, ὦ παῖ Λαρτίου, δέδορκά σε",ἀεί μέν εἰμί παῖς Λαέρτης δέρκομαι σός,1,1.0
Ἀθήνα,πεῖράν τιν᾽ ἐχθρῶν ἁρπάσαι θηρώμενον:,πείρω τίνω ἔχθρα ἁρπάζω θηράω,,2.0
Ἀθήνα,καὶ νῦν ἐπὶ σκηναῖς σε ναυτικαῖς ὁρῶ,καί νῦν ἐπί σκηνάω σός ναυτικός ὅρος,,3.0
Ἀθήνα,"Αἴαντος, ἔνθα τάξιν ἐσχάτην ἔχει,",Αἴας ἔνθα τάξις ἔσχατος ἔχις,,4.0
Ἀθήνα,πάλαι κυνηγετοῦντα καὶ μετρούμενον,πάλα κυνηγετέω καί μετρέω,5,5.0
Ἀθήνα,"ἴχνη τὰ κείνου νεοχάραχθ᾽, ὅπως ἴδῃς",ἴχνος ὁ ἐκεῖνος νεοχάρακτος ὅπως εἶδον,,6.0
Ἀθήνα,εἴτ᾽ ἔνδον εἴτ᾽ οὐκ ἔνδον.  εὖ δέ σ᾽ ἐκφέρει,εἴτε ἔνδον εἴτε οὐ ἔνδον εὖ δέ σός ἐκφέρω,,7.0
Ἀθήνα,κυνὸς Λακαίνης ὥς τις εὔρινος βάσις.,Κῦνος Λάκαινα ὅς τίς εὔρινος βάσις,,8.0
Ἀθήνα,"ἔνδον γὰρ ἁνὴρ ἄρτι τυγχάνει, κάρα",ἔνδον γάρ ἀνήρ ἄρτι τυγχάνω κάρ,,9.0
Ἀθήνα,στάζων ἱδρῶτι καὶ χέρας ξιφοκτόνους.,στάζω ἱδρώς καί χείρ ξιφοκτόνος,10,10.0
Ἀθήνα,καί σ᾽ οὐδὲν εἴσω τῆσδε παπταίνειν πύλης,καί σός οὐδείς εἴδομαι ὅδε παπταίνω πύλη,,11.0
Ἀθήνα,"ἔτ᾽ ἔργον ἐστίν, ἐννέπειν δ᾽ ὅτου χάριν",ἔτης ἔργνυμι εἰμί ἐνέπω δέ ὅστις Χάρις,,12.0
Ἀθήνα,"σπουδὴν ἔθου τήνδ᾽, ὡς παρ᾽ εἰδυίας μάθῃς.",σπουδή ἔθω ὅδε ὅς Πάρις οἶδα μάθη,,13.0
Ὀδυσσεύς,"ὦ φθέγμ᾽ Ἀθάνας, φιλτάτης ἐμοὶ θεῶν,",εἰμί φθέγμα Ἀθήνη φίλτατος ἐγώ θέα,,14.0
Ὀδυσσεύς,"ὡς εὐμαθές σου, κἂν ἄποπτος ᾖς ὅμως,",ὅς εὐμαθής σεύω κἀν ἄποπτος εἰμί ὅμως,15,15.0
Ὀδυσσεύς,φώνημ᾽ ἀκούω καὶ ξυναρπάζω φρενὶ,φώνημα ἀκούω καί συναρπάζω φρήν,,16.0
Ὀδυσσεύς,χαλκοστόμου κώδωνος ὡς Τυρσηνικῆς.,χαλκόστομος κώδων ὅς,,17.0
Ὀδυσσεύς,καὶ νῦν ἐπέγνως εὖ μ᾽ ἐπ᾽ ἀνδρὶ δυσμενεῖ,καί νῦν ἐπιγιγνώσκω εὖ ἐγώ ἐπί ἀνδρίς δυσμενής,,18.0
Ὀδυσσεύς,"βάσιν κυκλοῦντ᾽, Αἴαντι τῷ σακεσφόρῳ:",βάσις κυκλέω Αἴας ὁ σακεσφόρος,,19.0
Ὀδυσσεύς,"κεῖνον γάρ, οὐδέν᾽ ἄλλον, ἰχνεύω πάλαι.",ἐκεῖνος γάρ οὐδείς ἄλλος Ἰχνεύω πάλα,20,20.0
Ὀδυσσεύς,νυκτὸς γὰρ ἡμᾶς τῆσδε πρᾶγος ἄσκοπον,νύξ γάρ ἐγώ ὅδε πρᾶγος ἄσκοπος,,21.0
Ὀδυσσεύς,"ἔχει περάνας, εἴπερ εἴργασται τάδε:",ἔχις περαίνω εἴπερ ἐργάζομαι ὅδε,,22.0
Ὀδυσσεύς,"ἴσμεν γὰρ οὐδὲν τρανές, ἀλλ᾽ ἀλώμεθα:",οἶδα γάρ οὐδείς τρανής ἄλλος ἀλάομαι,,23.0
Ὀδυσσεύς,κἀγὼ 'θελοντὴς τῷδ᾽ ὑπεζύγην πόνῳ.,ἄγαμαι θελοντής ὅδε ὑποζεύγνυμι πόνος,,24.0
Ὀδυσσεύς,ἐφθαρμένας γὰρ ἀρτίως εὑρίσκομεν,φθείρω γάρ ἄρτιος εὑρίσκω,25,25.0
Ὀδυσσεύς,λείας ἁπάσας καὶ κατηναρισμένας,λεία ἅπας καί κατεναρίζω,,26.0
Ὀδυσσεύς,ἐκ χειρὸς αὐτοῖς ποιμνίων ἐπιστάταις.,ἐκ χείρ αὐτός ποίμνιον ἐπιστάτη,,27.0
Ὀδυσσεύς,τήνδ᾽ οὖν ἐκείνῳ πᾶς τις αἰτίαν νέμει.,ὅδε οὖν ἐκεῖνος πᾶς τίς αἴτιος νέμος,,28.0
Ὀδυσσεύς,καί μοί τις ὀπτὴρ αὐτὸν εἰσιδὼν μόνον,καί ἐγώ τίς ὀπτήρ αὐτός εἶδον μόνος,,29.0
Ὀδυσσεύς,πηδῶντα πεδία σὺν νεορράντῳ ξίφει,πηδάω πέδιον σύν νεόρραντος ξίφος,30,30.0
Ὀδυσσεύς,φράζει τε κἀδήλωσεν: εὐθέως δ᾽ ἐγὼ,φράζω σύ ἀδηλόω εὐθέως δέ ἐγώ,,31.0
Ὀδυσσεύς,"κατ᾽ ἴχνος ᾁσσω, καὶ τὰ μὲν σημαίνομαι,",κάτος ἴχνος ἀίσσω καί ὁ μέν σημαίνω,,32.0
Ὀδυσσεύς,τὰ δ᾽ ἐκπέπληγμαι κοὐκ ἔχω μαθεῖν ὅτου.,ὁ δέ ἐκπλήσσω οὐ ἔχω μανθάνω ὅστις,,33.0
Ὀδυσσεύς,καιρὸν δ᾽ ἐφήκεις: πάντα γὰρ τά τ᾽ οὖν πάρος,καῖρος δέ ἐφήκω πάντῃ γάρ ὁ σύ οὖν Πάρος,,34.0
Ὀδυσσεύς,τά τ᾽ εἰσέπειτα σῇ κυβερνῶμαι χερί.,ὁ σύ εἰσέπειτα σός κυβερνάω χείρ,35,35.0
Ἀθήνα,"ἔγνων, Ὀδυσσεῦ, καὶ πάλαι φύλαξ ἔβην",γιγνώσκω Ὀδυσσεύς καί πάλα φύλαξ βαίνω,,36.0
Ἀθήνα,τῇ σῇ πρόθυμος εἰς ὁδὸν κυναγίᾳ.,ὁ σός πρόθυμος εἶμι ὁδός κυνηγία,,37.0
Ὀδυσσεύς,"ἦ καί, φίλη δέσποινα, πρὸς καιρὸν πονῶ;",εἰμί καί φίλος δέσποινα πρός καῖρος πόνος,,38.0
Ἀθήνα,ὡς ἔστιν ἀνδρὸς τοῦδε τἄργα ταῦτά σοι.,ὅς εἰμί ἀνήρ ὅδε ἀργός οὗτος σός,,39.0
Ὀδυσσεύς,καὶ πρὸς τί δυσλόγιστον ὧδ᾽ ᾖξεν χέρα;,καί πρός τίς δυσλόγιστος ὧδε ἀίσσω χείρ,40,40.0
Ἀθήνα,χόλῳ βαρυνθεὶς τῶν Ἀχιλλείων ὅπλων.,χόλος βαρύνω ὁ Ἀχίλλειος ὅπλον,,41.0
Ὀδυσσεύς,τί δῆτα ποίμναις τήνδ᾽ ἐπεμπίπτει βάσιν;,τίς δῆτα ποίμνη ὅδε ἐπεμπίπτω βάσις,,42.0
Ἀθήνα,δοκῶν ἐν ὑμῖν χεῖρα χραίνεσθαι φόνῳ.,δόκος ἐν σύ χείρ χραίνω φόνος,,43.0
Ὀδυσσεύς,ἦ καὶ τὸ βούλευμ᾽ ὡς ἐπ᾽ Ἀργείοις τόδ᾽ ἦν;,εἰμί καί ὁ βούλευμα ὅς ἐπί Ἀργεῖος ὅδε ἐάν,,44.0
Ἀθήνα,"κἂν ἐξεπράξατ᾽, εἰ κατημέλησ᾽ ἐγώ.",κἀν ἐκπράσσω εἰ καταμελέω ἐγώ,45,45.0
Ὀδυσσεύς,ποίαισι τόλμαις ταῖσδε καὶ φρενῶν θράσει;,πόα τόλμα ὅδε καί φρενόω θράομαι,,46.0
Ἀθήνα,νύκτωρ ἐφ᾽ ὑμᾶς δόλιος ὁρμᾶται μόνος.,νύκτωρ ἐπί σύ Δόλιος ὁρμάω μόνος,,47.0
Ὀδυσσεύς,ἦ καὶ παρέστη κἀπὶ τέρμ᾽ ἀφίκετο;,εἰμί καί παρίστημι ἐπί τέρμα ἀφικνέομαι,,48.0
Ἀθήνα,καὶ δὴ 'πὶ δισσαῖς ἦν στρατηγίσιν πύλαις.,καί Δεύς ἐπί δισσός ἐάν στρατηγίς Πύλαι,,49.0
Ὀδυσσεύς,καὶ πῶς ἐπέσχε χεῖρα μαιμῶσαν φόνου;,καί πῶς ἐπώχατο χείρ μαιμάω φόνος,50,50.0
Ἀθήνα,"ἐγώ σφ᾽ ἀπείργω, δυσφόρους ἐπ᾽ ὄμμασι",ἐγώ ἕπομαι ἀπείργω δύσφορος ἐπί ὄμμα,,51.0
Ἀθήνα,"γνώμας βαλοῦσα τῆς ἀνηκέστου χαρᾶς,",γνώμη βάλλω ὁ ἀνήκεστος χαρά,,52.0
