Name,Speech,Lemmas,verse_number,inferred_verse_number
Ἀντιγόνη,"ὦ κοινὸν αὐτάδελφον Ἰσμήνης κάρα,",εἰμί κοινός αὐτάδελφος κάρ,1,1.0
Ἀντιγόνη,ἆρ᾽ οἶσθ᾽ ὅ τι Ζεὺς τῶν ἀπ᾽ Οἰδίπου κακῶν,ἄρα ὀιστός ὅς τίς Ζεύς ὁ Ἆπις Οἰδίπους κάκη,,2.0
Ἀντιγόνη,ὁποῖον οὐχὶ νῷν ἔτι ζώσαιν τελεῖ;,ὁποῖος οὐ ἐγώ ἔτι ζάω τέλλω,,3.0
Ἀντιγόνη,οὐδὲν γὰρ οὔτ᾽ ἀλγεινὸν οὔτ᾽ ἄτης ἄτερ,οὐδείς γάρ οὔτε ἀλγεινός οὔτε ἄτη ἄτερ,,4.0
Ἀντιγόνη,"οὔτ᾽ αἰσχρὸν οὔτ᾽ ἄτιμόν ἐσθ᾽, ὁποῖον οὐ",οὔτε αἰσχρός οὔτε ἄτιμος ἔσθω ὁποῖος οὐ,5,5.0
Ἀντιγόνη,τῶν σῶν τε κἀμῶν οὐκ ὄπωπ᾽ ἐγὼ κακῶν.,ὁ σής σύ Ἀμών οὐ ὁράω ἐγώ κάκη,,6.0
Ἀντιγόνη,καὶ νῦν τί τοῦτ᾽ αὖ φασι πανδήμῳ πόλει,καί νῦν τίς οὗτος αὗ φάσις πάνδημος πόλις,,7.0
Ἀντιγόνη,κήρυγμα θεῖναι τὸν στρατηγὸν ἀρτίως;,κήρυγμα θείνω ὁ στρατηγός ἄρτιος,,8.0
Ἀντιγόνη,ἔχεις τι κεἰσήκουσας; ἤ σε λανθάνει,ἔχις τίς εἰσακούω εἰμί σός λανθάνω,,9.0
Ἀντιγόνη,πρὸς τοὺς φίλους στείχοντα τῶν ἐχθρῶν κακά;,πρός ὁ φίλος στείχω ὁ ἔχθρα κάκη,10,10.0
Ἰσμήνη,"ἐμοὶ μὲν οὐδεὶς μῦθος, Ἀντιγόνη φίλων",ἐγώ μέν οὐδείς μῦθος φίλος,,11.0
Ἰσμήνη,οὔθ᾽ ἡδὺς οὔτ᾽ ἀλγεινὸς ἵκετ᾽ ἐξ ὅτου,οὔτε ἡδύς οὔτε ἀλγεινός ἵκετις ἐξ ὅστις,,12.0
Ἰσμήνη,"δυοῖν ἀδελφοῖν ἐστερήθημεν δύο,",δύο ἀδελφός στερέω δύο,,13.0
Ἰσμήνη,μιᾷ θανόντοιν ἡμέρᾳ διπλῇ χερί:,εἷς θνήσκω ἥμερος διπλάζω χείρ,,14.0
