Name,Speech,Lemmas,verse_number,inferred_verse_number
Παιδαγωγός,ὦ τοῦ στρατηγήσαντος ἐν Τροίᾳ ποτὲ,εἰμί ὁ στρατηγέω ἐν Τροία πότε,1,1.0
Παιδαγωγός,"Ἀγαμέμνονος παῖ, νῦν ἐκεῖν᾽ ἔξεστί σοι",Ἀγαμέμνων παῖς νῦν ἐκεῖνος ἔξεστι σός,,2.0
Παιδαγωγός,"παρόντι λεύσσειν, ὧν πρόθυμος ἦσθ᾽ ἀεί.",πάρειμι λεύσσω ὅς πρόθυμος ἔσθω ἀεί,,3.0
Παιδαγωγός,"τὸ γὰρ παλαιὸν Ἄργος οὑπόθεις τόδε,",ὁ γάρ παλαίω Ἄργος ποθέω ὅδε,,4.0
Παιδαγωγός,τῆς οἰστροπλῆγος ἄλσος Ἰνάχου κόρης:,ὁ οἰστροπλήξ ἄλσος Ἴναχος Κόρα,5,5.0
Παιδαγωγός,"αὕτη δ᾽, Ὀρέστα, τοῦ λυκοκτόνου θεοῦ",οὗτος δέ Ὀρέστης ὁ λυκοκτόνος θεάομαι,,6.0
Παιδαγωγός,ἀγορὰ Λύκειος: οὑξ ἀριστερᾶς δ᾽ ὅδε,ἀγορά λύκειος ἕξ ἀριστερός δέ ὅδε,,7.0
Παιδαγωγός,"Ἥρας ὁ κλεινὸς ναός: οἷ δ᾽ ἱκάνομεν,",Ἥρα ὅς κλεινός ναός ἕ δέ ἱκάνω,,8.0
Παιδαγωγός,φάσκειν Μυκήνας τὰς πολυχρύσους ὁρᾶν,φάσκω Μυκήνη ὁ πολύχρυσος ὁράω,,9.0
Παιδαγωγός,"πολύφθορόν τε δῶμα Πελοπιδῶν τόδε,",πολύφθορος σύ δῶμα ὅδε,10,10.0
Παιδαγωγός,ὅθεν σε πατρὸς ἐκ φονῶν ἐγώ ποτε,ὅθεν σός πατήρ ἐκ φόνος ἐγώ πότε,,11.0
Παιδαγωγός,πρὸς σῆς ὁμαίμου καὶ κασιγνήτης λαβὼν,πρός σής ὅμαιμος καί κασιγνήτη λαβή,,12.0
Παιδαγωγός,ἤνεγκα κἀξέσωσα κἀξεθρεψάμην,φέρω ἐκσῴζω ἐκτρέφω,,13.0
Παιδαγωγός,"τοσόνδ᾽ ἐς ἥβης, πατρὶ τιμωρὸν φόνου.",τοσόσδε εἰς Ἥβη πατήρ τιμωρός φόνος,,14.0
Παιδαγωγός,"νῦν οὖν, Ὀρέστα καὶ σὺ φίλτατε ξένων",νῦν οὖν Ὀρέστης καί σύ φίλτατος ξένη,15,15.0
Παιδαγωγός,"Πυλάδη, τί χρὴ δρᾶν ἐν τάχει βουλευτέον:",τίς χράω δράω ἐν τάχος βουλευτέον,,16.0
Παιδαγωγός,ὡς ἡμὶν ἤδη λαμπρὸν ἡλίου σέλας,ὅς ἐγώ ἤδη λαμπρός ἥλιος σέλας,,17.0
Παιδαγωγός,ἑῷα κινεῖ φθέγματ᾽ ὀρνίθων σαφῆ,ἑῷος κινέω φθέγμα ὄρνις σαφής,,18.0
Παιδαγωγός,μέλαινά τ᾽ ἄστρων ἐκλέλοιπεν εὐφρόνη.,μέλαινα σύ ἄστρον ἐκλείπω εὐφρόνη,,19.0
Παιδαγωγός,"πρὶν οὖν τιν᾽ ἀνδρῶν ἐξοδοιπορεῖν στέγης,",πρίν οὖν τίνω ἀνδρόω ἐξοδοιπορέω στέγη,20,20.0
Παιδαγωγός,"ξυνάπτετον λόγοισιν: ὡς ἐνταῦθ᾽ ἐμέν,",συνάπτω λόγος ὅς ἐνταῦθα εἰμί,,21.0
Παιδαγωγός,"ἵν᾽ οὐκέτ᾽ ὀκνεῖν καιρός, ἀλλ᾽ ἔργων ἀκμή.",ἵνα οὐκέτι ὀκνέω καῖρος ἄλλος ἔργνυμι ἀκμή,,22.0
Ὀρέστης,"ὦ φίλτατ᾽ ἀνδρῶν προσπόλων, ὥς μοι σαφῆ",εἰμί φίλτατος ἀνδρόω πρόσπολος ὅς ἐγώ σαφής,,23.0
Ὀρέστης,σημεῖα φαίνεις ἐσθλὸς εἰς ἡμᾶς γεγώς.,σημεία φαίνω ἐσθλός εἶμι ἐγώ γίγνομαι,,24.0
Ὀρέστης,"ὥσπερ γὰρ ἵππος εὐγενής, κἂν ᾖ γέρων,",ὥσπερ γάρ ἵππος εὐγενής κἀν εἰμί γέρας,25,25.0
Ὀρέστης,"ἐν τοῖσι δεινοῖς θυμὸν οὐκ ἀπώλεσεν,",ἐν ὁ δεῖνος θύμον οὐ ἀπόλλυμι,,26.0
Ὀρέστης,"ἀλλ᾽ ὀρθὸν οὖς ἵστησιν, ὡσαύτως δὲ σὺ",ἄλλος ὀρθός οὖς ἵστημι ὡσαύτως δέ σύ,,27.0
Ὀρέστης,ἡμᾶς τ᾽ ὀτρύνεις καὐτὸς ἐν πρώτοις ἕπει.,ἐγώ σύ ὀτρύνω αὐτός ἐν πρότερος ἕπομαι,,28.0
