Name,Speech,Lemmas,verse_number,inferred_verse_number
Οἰδίπους,"τέκνον τυφλοῦ γέροντος Ἀντιγόνη, τίνας",τέκνον τυφλός γέρων τίς,1,1.0
Οἰδίπους,χώρους ἀφίγμεθ᾽ ἢ τίνων ἀνδρῶν πόλιν;,Χῶρος ἀφικνέομαι εἰμί τίνω ἀνδρόω πόλις,,2.0
Οἰδίπους,τίς τὸν πλανήτην Οἰδίπουν καθ᾽ ἡμέραν,τίς ὁ πλανάω Οἰδίπους κάτος ἥμερος,,3.0
Οἰδίπους,τὴν νῦν σπανιστοῖς δέξεται δωρήμασιν;,ὁ νῦν σπανιστός δέχομαι δώρημα,,4.0
Οἰδίπους,"σμικρὸν μὲν ἐξαιτοῦντα, τοῦ σμικροῦ δ᾽ ἔτι",μικρός μέν ἐξαιτέω ὁ μικρός δέ ἔτι,5,5.0
Οἰδίπους,"μεῖον φέροντα, καὶ τόδ᾽ ἐξαρκοῦν ἐμοί:",μείων φέρω καί ὅδε ἐξαρκέω ἐγώ,,6.0
Οἰδίπους,στέργειν γὰρ αἱ πάθαι με χὠ χρόνος ξυνὼν,στέργω γάρ ὅς πάθη ἐγώ ἵημι χρόνος ξυνός,,7.0
Οἰδίπους,μακρὸς διδάσκει καὶ τὸ γενναῖον τρίτον.,μάκρος διδάσκω καί ὁ γενναῖος τρίτος,,8.0
Οἰδίπους,"ἀλλ᾽, ὦ τέκνον, θάκησιν εἴ τινα βλέπεις",ἄλλος εἰμί τέκνον θάκησις εἰ τίς βλέπω,,9.0
Οἰδίπους,"ἢ πρὸς βεβήλοις ἢ πρὸς ἄλσεσιν θεῶν,",εἰμί πρός βέβηλος εἰμί πρός ἄλσις θέα,10,10.0
Οἰδίπους,"στῆσόν με κἀξίδρυσον, ὡς πυθώμεθα",ἵστημι ἐγώ ἐξιδρύω ὅς πύθω,,11.0
Οἰδίπους,ὅπου ποτ᾽ ἐσμέν:  μανθάνειν γὰρ ἥκομεν,ὅπου πότε εἰμί μανθάνω γάρ ἥκω,,12.0
Οἰδίπους,"ξένοι πρὸς ἀστῶν, ἃν δ᾽ ἀκούσωμεν τελεῖν.",ξένος πρός ἄστυ ὅς δέ ἀκούω τέλλω,,13.0
Ἀντιγόνη,"πάτερ ταλαίπωρ᾽ Οἰδίπους, πύργοι μέν, οἳ",πατήρ ταλαίπωρος Οἰδίπους πύργος μέν ἕ,,14.0
Ἀντιγόνη,"πόλιν στέγουσιν, ὡς ἀπ᾽ ὀμμάτων, πρόσω:",πόλις στέγω ὅς Ἆπις ὄμμα πρόσειμι,15,15.0
Ἀντιγόνη,"χῶρος δ᾽ ὅδ᾽ ἱερός, ὡς ἀπεικάσαι, βρύων",Χῶρος δέ ὅδε ἱερός ὅς ἀπεικάζω βρύα,,16.0
Ἀντιγόνη,"δάφνης, ἐλαίας, ἀμπέλου:  πυκνόπτεροι δ᾽",δάφνη ἐλαία ἄμπελος πυκνόπτερος δέ,,17.0
Ἀντιγόνη,εἴσω κατ᾽ αὐτὸν εὐστομοῦσ᾽ ἀηδόνες:,εἴδομαι κάτος αὐτός εὐστομέω ἀηδών,,18.0
Ἀντιγόνη,οὗ κῶλα κάμψον τοῦδ᾽ ἐπ᾽ ἀξέστου πέτρου:,ἕ κῶλον κάμπτω ὅδε ἐπί ἄξεστος πέτρος,,19.0
Ἀντιγόνη,μακρὰν γὰρ ὡς γέροντι προὐστάλης ὁδόν.,μάκρα γάρ ὅς γέρων προστέλλω ὁδός,20,20.0
Οἰδίπους,κάθιζέ νύν με καὶ φύλασσε τὸν τυφλόν.,καθίζω νῦν ἐγώ καί φυλάσσω ὁ τυφλός,,21.0
Ἀντιγόνη,χρόνου μὲν οὕνεκ᾽ οὐ μαθεῖν με δεῖ τόδε.,χρόνος μέν οὕνεκα οὐ μανθάνω ἐγώ Δεύς ὅδε,,22.0
Οἰδίπους,ἔχεις διδάξαι δή μ᾽ ὅποι καθέσταμεν;,ἔχις διδάσκω Δεύς ἐγώ ὅποι καθίστημι,,23.0
