Name,Speech,Lemmas,verse_number,inferred_verse_number
Οἰδίπους,"ὦ τέκνα, Κάδμου τοῦ πάλαι νέα τροφή,",εἰμί τέκνον Κάδμος ὁ πάλα ναῦς τρέφω,1,1.0
Οἰδίπους,τίνας ποθ᾽ ἕδρας τάσδε μοι θοάζετε,τίς πόθι ἕδρα ὅδε ἐγώ θοάζω,,2.0
Οἰδίπους,ἱκτηρίοις κλάδοισιν ἐξεστεμμένοι;,ἱκετήριος κλάδος ἐκστέφω,,3.0
Οἰδίπους,"πόλις δ᾽ ὁμοῦ μὲν θυμιαμάτων γέμει,",πόλις δέ ὁμός μέν θυμίαμα γέμος,,4.0
Οἰδίπους,ὁμοῦ δὲ παιάνων τε καὶ στεναγμάτων:,ὁμός δέ Παιάν σύ καί στέναγμα,5,5.0
Οἰδίπους,"ἁγὼ δικαιῶν μὴ παρ᾽ ἀγγέλων, τέκνα,",ἄγαμαι δίκαιος μή Πάρις ἄγγελος τέκνον,,6.0
Οἰδίπους,"ἄλλων ἀκούειν αὐτὸς ὧδ᾽ ἐλήλυθα,",ἄλλος ἀκούω αὐτός ὧδε ἔρχομαι,,7.0
Οἰδίπους,ὁ πᾶσι κλεινὸς Οἰδίπους καλούμενος.,ὅς πᾶς κλεινός Οἰδίπους καλέω,,8.0
Οἰδίπους,"ἀλλ᾽ ὦ γεραιέ, φράζ᾽, ἐπεὶ πρέπων ἔφυς",ἄλλος εἰμί γεραιός φράζω ἔπειμι πρέπω φύω,,9.0
Οἰδίπους,"πρὸ τῶνδε φωνεῖν, τίνι τρόπῳ καθέστατε,",πρό ὅδε φωνέω τίς τρόπος καθίστημι,10,10.0
Οἰδίπους,δείσαντες ἢ στέρξαντες; ὡς θέλοντος ἂν,δείδω εἰμί στέργω ὅς ἐθέλω ἄν,,11.0
Οἰδίπους,ἐμοῦ προσαρκεῖν πᾶν:  δυσάλγητος γὰρ ἂν,ἐγώ προσαρκέω Πάν δυσάλγητος γάρ ἄν,,12.0
Οἰδίπους,εἴην τοιάνδε μὴ οὐ κατοικτίρων ἕδραν.,ἐάω τοιόσδε μή οὐ κατοικτείρω ἕδρα,,13.0
Ἱερεύς,"ἀλλ᾽ ὦ κρατύνων Οἰδίπους χώρας ἐμῆς,",ἄλλος εἰμί κρατύνω Οἰδίπους χώρα ἐμέω,,14.0
Ἱερεύς,ὁρᾷς μὲν ἡμᾶς ἡλίκοι προσήμεθα,ὁράω μέν ἐγώ ἁλίζω πρόσημαι,15,15.0
Ἱερεύς,βωμοῖσι τοῖς σοῖς:  οἱ μὲν οὐδέπω μακρὰν,βωμός ὁ σός ἕ μέν οὐδέπω μάκρα,,16.0
Ἱερεύς,"πτέσθαι σθένοντες, οἱ δὲ σὺν γήρᾳ βαρεῖς,",πέτομαι σθένω ἕ δέ σύν γῆρας βᾶρις,,17.0
Ἱερεύς,"ἱερῆς, ἐγὼ μὲν Ζηνός, οἵδε τ᾽ ᾐθέων",ἱερά ἐγώ μέν Ζεύς ὅδε σύ ἠίθεος,,18.0
Ἱερεύς,λεκτοί:  τὸ δ᾽ ἄλλο φῦλον ἐξεστεμμένον,λεκτός ὁ δέ ἄλλος φῦλον ἐκστέφω,,19.0
Ἱερεύς,ἀγοραῖσι θακεῖ πρός τε Παλλάδος διπλοῖς,ἀγορά θακέω πρός σύ Παλλάς διπλόος,20,20.0
Ἱερεύς,"ναοῖς, ἐπ᾽ Ἰσμηνοῦ τε μαντείᾳ σποδῷ.",νάω ἐπί Ἰσμηνός σύ μαντεία σποδός,,21.0
Ἱερεύς,"πόλις γάρ, ὥσπερ καὐτὸς εἰσορᾷς, ἄγαν",πόλις γάρ ὥσπερ αὐτός εἰσοράω ἄγαν,,22.0
Ἱερεύς,ἤδη σαλεύει κἀνακουφίσαι κάρα,ἤδη σαλεύω ἀνακουφίζω κάρ,,23.0
Ἱερεύς,"βυθῶν ἔτ᾽ οὐχ οἵα τε φοινίου σάλου,",βυθάω ἔτης οὐ οἷος σύ φοίνιος σάλος,,24.0
Ἱερεύς,"φθίνουσα μὲν κάλυξιν ἐγκάρποις χθονός,",φθίω μέν κάλυξ ἔγκαρπος χθών,25,25.0
Ἱερεύς,φθίνουσα δ᾽ ἀγέλαις βουνόμοις τόκοισί τε,φθίω δέ ἀγέλη βούνομος τόκος σύ,,26.0
Ἱερεύς,ἀγόνοις γυναικῶν:  ἐν δ᾽ ὁ πυρφόρος θεὸς,ἄγονος γυναικόω ἐν δέ ὅς πύρφορος θεός,,27.0
Ἱερεύς,"σκήψας ἐλαύνει, λοιμὸς ἔχθιστος, πόλιν,",σκήπτω ἐλαύνω λοιμός ἔχθιστος πόλις,,28.0
