Name,Speech,Lemmas,verse_number,inferred_verse_number
Ὀδυσσεύς,ἀκτὴ μὲν ἥδε τῆς περιρρύτου χθονὸς,ἀκτέα μέν ὅδε ὁ περίρρυτος χθών,1,1.0
Ὀδυσσεύς,"Λήμνου, βροτοῖς ἄστιπτος οὐδ᾽ οἰκουμένη,",Λῆμνος βρότος ἄστιπτος οὐδέ οἰκέω,,2.0
Ὀδυσσεύς,"ἔνθ᾽, ὦ κρατίστου πατρὸς Ἑλλήνων τραφεὶς",ἔνθα εἰμί κράτιστος πατήρ Ἕλλην τρέφω,,3.0
Ὀδυσσεύς,"Ἀχιλλέως παῖ Νεοπτόλεμε, τὸν Μηλιᾶ",Ἀχιλλεύς παῖς Νεοπτόλεμος ὁ Μήλιος,,4.0
Ὀδυσσεύς,"Ποίαντος υἱὸν ἐξέθηκ᾽ ἐγώ ποτε,",Ποίας υἱός ἐκτίθημι ἐγώ πότε,5,5.0
Ὀδυσσεύς,"ταχθεὶς τόδ᾽ ἔρδειν τῶν ἀνασσόντων ὕπο,",τάσσω ὅδε ἔρδω ὁ ἀνάσσω ὑπό,,6.0
Ὀδυσσεύς,νόσῳ καταστάζοντα διαβόρῳ πόδα:,νόσος καταστάζω διαβόρος πούς,,7.0
Ὀδυσσεύς,ὅτ᾽ οὔτε λοιβῆς ἡμὶν οὔτε θυμάτων,ὅστε οὔτε λοιβή ἐγώ οὔτε θῦμα,,8.0
Ὀδυσσεύς,"παρῆν ἑκήλοις προσθιγεῖν, ἀλλ᾽ ἀγρίαις",πάρειμι ἕκηλος προσθιγγάνω ἄλλος ἄγριος,,9.0
Ὀδυσσεύς,"κατεῖχ᾽ ἀεὶ πᾶν στρατόπεδον δυσφημίαις,",καθίημι ἀεί Πάν στρατόπεδον δυσφημία,10,10.0
Ὀδυσσεύς,"βοῶν, στενάζων.  ἀλλὰ ταῦτα μὲν τί δεῖ",βάζω στενάζω ἄλλος οὗτος μέν τίς Δεύς,,11.0
Ὀδυσσεύς,"λέγειν; ἀκμὴ γὰρ οὐ μακρῶν ἡμῖν λόγων,",λέγω ἀκμή γάρ οὐ μάκρα ἐγώ λόγος,,12.0
Ὀδυσσεύς,μὴ καὶ μάθῃ μ᾽ ἥκοντα κἀκχέω τὸ πᾶν,μή καί μάθη ἐγώ ἥκω ἐκχέω ὁ Πάν,,13.0
Ὀδυσσεύς,"σόφισμα, τῷ νιν αὐτίχ᾽ αἱρήσειν δοκῶ.",σόφισμα ὁ νιν αὐτίκα αἱρέω δόκος,,14.0
Ὀδυσσεύς,ἀλλ᾽ ἔργον ἤδη σὸν τὰ λοίφ᾽ ὑπηρετεῖν,ἄλλος ἔργνυμι ἤδη σός ὁ λοιπάς ὑπηρετέω,15,15.0
Ὀδυσσεύς,σκοπεῖν θ᾽ ὅπου 'στ᾽ ἐνταῦθα δίστομος πέτρα,σκοπάω σύ ὅπου ἀστή ἐνταῦθα δίστομος πέτρα,,16.0
