Name,Speech,Lemmas,verse_number,inferred_verse_number
Δηιάνειρα,"λόγος μέν ἐστ᾽ ἀρχαῖος ἀνθρώπων φανείς,",λόγος μέν ἔστε ἀρχαῖος ἄνθρωπος φαίνω,1,1.0
Δηιάνειρα,"ὡς οὐκ ἂν αἰῶν᾽ ἐκμάθοις βροτῶν, πρὶν ἂν",ὅς οὐ ἄν αἰών ἐκμανθάνω βρότος πρίν ἄν,,2.0
Δηιάνειρα,"θάνῃ τις, οὔτ᾽ εἰ χρηστὸς οὔτ᾽ εἴ τῳ κακός:",θνήσκω τίς οὔτε εἰ χρηστός οὔτε εἰ ὁ κακός,,3.0
Δηιάνειρα,"ἐγὼ δὲ τὸν ἐμόν, καὶ πρὶν εἰς Ἅιδου μολεῖν,",ἐγώ δέ ὁ ἐμός καί πρίν εἶμι Ἅιδης βλώσκω,,4.0
Δηιάνειρα,"ἔξοιδ᾽ ἔχουσα δυστυχῆ τε καὶ βαρύν,",ἔξοιδα ἔχω δυστυχέω σύ καί βαρύς,5,5.0
Δηιάνειρα,ἥτις πατρὸς μὲν ἐν δόμοισιν Οἰνέως,ὅστις πατήρ μέν ἐν δόμος Οἰνεύς,,6.0
Δηιάνειρα,ναίουσ᾽ ἔτ᾽ ἐν Πλευρῶνι νυμφείων ὄκνον,ναίω ἔτης ἐν Πλευρών νυμφεῖος ὄκνος,,7.0
Δηιάνειρα,"ἄλγιστον ἔσχον, εἴ τις Αἰτωλὶς γυνή.",ἀλγίων ἔχω εἰ τίς γυνή,,8.0
Δηιάνειρα,"μνηστὴρ γὰρ ἦν μοι ποταμός, Ἀχελῷον λέγω,",μνηστήρ γάρ ἐάν ἐγώ ποταμός Ἀχελώιος λέγος,,9.0
Δηιάνειρα,"ὅς μ᾽ ἐν τρισὶν μορφαῖσιν ἐξῄτει πατρός,",ὅς ἐγώ ἐν τρεῖς μορφάω ἐξαιτέω πατήρ,10,10.0
Δηιάνειρα,"φοιτῶν ἐναργὴς ταῦρος, ἄλλοτ᾽ αἰόλος",φοίτης ἐναργής ταῦρος ἄλλοτε Αἴολος,,11.0
Δηιάνειρα,"δράκων ἑλικτός, ἄλλοτ᾽ ἀνδρείῳ κύτει",δέρκομαι ἑλικτός ἄλλοτε ἀνδρεῖος κύτος,,12.0
Δηιάνειρα,βούπρῳρος: ἐκ δὲ δασκίου γενειάδος,βούπρῳρος ἐκ δέ δάσκιος γενειάς,,13.0
Δηιάνειρα,κρουνοὶ διερραίνοντο κρηναίου ποτοῦ.,Κρουνοί διαρραίνομαι κρηναῖος πότης,,14.0
Δηιάνειρα,τοιόνδ᾽ ἐγὼ μνηστῆρα προσδεδεγμένη,τοιόσδε ἐγώ μνηστήρ προσδέχομαι,15,15.0
Δηιάνειρα,"δύστηνος αἰεὶ κατθανεῖν ἐπηυχόμην,",δύστηνος ἀεί καταθνήσκω ἐπεύχομαι,,16.0
